"Mun","./backup/201406.zip","novo/201406.zip","Diff","Percent"
"MONTE AZUL - MG",1503822.38,1500049.61,-3772.77,-0.25
"TAIUVA - SP",557073.69,518953.69,-38120.00,-6.84
"PALMEIRA DAS MISSOES - RS",1660014.47,1644096.86,-15917.61,-0.96
"TRES DE MAIO - RS",1404007.35,1377252.83,-26754.52,-1.91
"VIAMAO - RS",6021892.19,6011892.19,-10000.00,-0.17
"SOBRAL - CE",22961989.39,22694689.39,-267300.00,-1.16
"NOVO CRUZEIRO - MG",1793471.61,1784418.32,-9053.29,-0.50
"TRES COROAS - RS",1386454.45,1363480.67,-22973.78,-1.66
"BETIM - MG",17374851.49,17348851.49,-26000.00,-0.15
"SANTA RITA DO SAPUCAI - MG",1746676.71,1710441.91,-36234.80,-2.07
"SANANDUVA - RS",862184.43,855158.92,-7025.51,-0.81
"PINHAIS - PR",5066884.05,5055407.33,-11476.72,-0.23
"ASTORGA - PR",1652848.31,1652848.31,-0.00,-0.00
"POCO FUNDO - MG",950358.21,941974.08,-8384.13,-0.88
"SAO JOSE DO RIO PRETO - SP",13600032.22,13600032.22,0.00,0.00
"ASSIS - SP",4051569.62,4041569.62,-10000.00,-0.25
"BELEM - PA",92749127.72,73638642.12,-19110485.60,-20.60
"VARZEA GRANDE - MT",8152357.47,8090870.93,-61486.54,-0.75
"QUILOMBO - SC",1194829.11,1194829.11,0.00,0.00
"REGISTRO - SP",2801805.67,2756503.75,-45301.92,-1.62
"IBIMIRIM - PE",2092672.71,2090052.71,-2620.00,-0.13
"MARECHAL CANDIDO RONDON - PR",3907888.84,3839491.84,-68397.00,-1.75
"PEDRA AZUL - MG",1688000.45,1678000.45,-10000.00,-0.59
"INHAPI - AL",1663339.47,1653339.47,-10000.00,-0.60
"CUIABA - MT",67004359.17,33075389.51,-33928969.66,-50.64
"SAO JOSE DO OURO - RS",465946.38,450980.25,-14966.13,-3.21
"PEDRAO - BA",818202.18,818202.18,-0.00,-0.00
"RUBIM - MG",849422.85,839422.85,-10000.00,-1.18
"MALACACHETA - MG",1630438.78,1620438.78,-10000.00,-0.61
"GURUPI - TO",3944526.94,3859022.47,-85504.47,-2.17
"CORONEL FABRICIANO - MG",4379285.82,4342360.09,-36925.73,-0.84
"ITACARAMBI - MG",1574828.22,1574828.22,-0.00,-0.00
"PORTO LUCENA - RS",727722.38,725811.55,-1910.83,-0.26
"FORTALEZA - CE",206328975.99,135997765.43,-70331210.56,-34.09
"GUAXUPE - MG",2076602.59,2066102.59,-10500.00,-0.51
"GUARAPARI - ES",4815432.54,4810508.71,-4923.83,-0.10
"BRASILIA - DF",767904013.59,223148666.27,-544755347.32,-70.94
"CONDOR - RS",806117.68,804904.67,-1213.01,-0.15
"SAO GABRIEL - RS",2952825.44,2940686.09,-12139.35,-0.41
"MARILIA - SP",9274968.04,9104949.63,-170018.41,-1.83
"SARANDI - RS",1654567.86,1649807.42,-4760.44,-0.29
"CASSILANDIA - MS",1540303.56,1540303.56,0.00,0.00
"URUBURETAMA - CE",1748927.62,1748927.62,-0.00,-0.00
"SAO SEBASTIAO DO CAI - RS",1278188.47,1269673.39,-8515.08,-0.67
"BIRITIBA-MIRIM - SP",1381629.49,1370629.49,-11000.00,-0.80
"PADRE CARVALHO - MG",543237.68,533237.68,-10000.00,-1.84
"PARAISOPOLIS - MG",1055247.14,1051258.25,-3988.89,-0.38
"UBA - MG",3538874.07,3357844.31,-181029.76,-5.12
"POSSE - GO",1866481.57,1856481.57,-10000.00,-0.54
"TIMOTEO - MG",3518455.67,3463033.49,-55422.18,-1.58
"SAO JOAO DEL REI - MG",8600396.22,8590396.22,-10000.00,-0.12
"MARACAI - SP",920257.33,920257.33,-0.00,-0.00
"ANANAS - TO",1088351.34,1077851.34,-10500.00,-0.96
"ITAPUI - SP",790189.43,755289.43,-34900.00,-4.42
"ALVARO DE CARVALHO - SP",485984.66,475984.66,-10000.00,-2.06
"TUPA - SP",2696480.48,2603640.24,-92840.24,-3.44
"MACAIBA - RN",5058100.06,5047600.06,-10500.00,-0.21
"IVOTI - RS",996073.73,989670.21,-6403.52,-0.64
"SARANDI - PR",3052991.55,3018841.88,-34149.67,-1.12
"FAINA - GO",581294.46,571294.46,-10000.00,-1.72
"FILADELFIA - TO",1039875.77,1029375.77,-10500.00,-1.01
"INHAPIM - MG",2147879.00,2129844.14,-18034.86,-0.84
"BRAGANCA PAULISTA - SP",5890592.38,5815592.38,-75000.00,-1.27
"GUARUJA - SP",9880451.47,9880451.47,-0.00,-0.00
"SAO JOSE DE MIPIBU - RN",3272303.73,3261303.73,-11000.00,-0.34
"BAMBUI - MG",1255307.47,1234627.42,-20680.05,-1.65
"PASSO FUNDO - RS",6042031.36,5688538.02,-353493.34,-5.85
"ITUMBIARA - GO",5211439.66,5190939.66,-20500.00,-0.39
"GARCA - SP",2745507.17,2721318.46,-24188.71,-0.88
"JOAO PESSOA - PB",74891247.59,61833907.56,-13057340.03,-17.44
"CANINDE DE SAO FRANCISCO - SE",3273943.68,3258943.68,-15000.00,-0.46
"SANTO CRISTO - RS",897484.67,890597.97,-6886.70,-0.77
"FERNANDOPOLIS - SP",3092462.67,2807437.14,-285025.53,-9.22
"ARRAIAS - TO",738680.29,728680.29,-10000.00,-1.35
"IPORA - GO",1955828.83,1925328.83,-30500.00,-1.56
"CAMBUI - MG",1314341.01,1306744.65,-7596.36,-0.58
"FORMIGA - MG",2953676.37,2787129.87,-166546.50,-5.64
"CARPINA - PE",3784639.00,3678487.84,-106151.16,-2.80
"AIURUOCA - MG",513201.05,496881.78,-16319.27,-3.18
"SAPUCAIA - RJ",1139711.31,1137373.12,-2338.19,-0.21
"DUERE - TO",700807.01,690307.01,-10500.00,-1.50
"MACHADO - MG",1901035.19,1891035.19,-10000.00,-0.53
"CRUZ ALTA - RS",3321080.00,3013629.64,-307450.36,-9.26
"LUCELIA - SP",1178979.44,1178979.44,0.00,0.00
"CAMPO ALEGRE DE LOURDES - BA",2346216.28,2327484.28,-18732.00,-0.80
"SATIRO DIAS - BA",1791099.66,1791099.66,-0.00,-0.00
"CARIACICA - ES",8143117.82,7860282.20,-282835.62,-3.47
"SANTIAGO - RS",2440843.85,2418897.94,-21945.91,-0.90
"SANTO AMARO DAS BROTAS - SE",1155633.44,1145633.44,-10000.00,-0.87
"TAQUARAL - SP",493011.86,446491.86,-46520.00,-9.44
"SAO LUIS - MA",99454746.18,65727905.35,-33726840.83,-33.91
"JOAIMA - MG",1044236.85,1033736.85,-10500.00,-1.01
"LUNARDELLI - PR",542417.82,542417.82,0.00,0.00
"MONTEIRO LOBATO - SP",509289.33,486089.33,-23200.00,-4.56
"PEDRO AFONSO - TO",858648.71,828648.71,-30000.00,-3.49
"SERRA DO NAVIO - AP",435811.93,425811.93,-10000.00,-2.29
"GUAJARA-MIRIM - RO",2156815.07,2146315.07,-10500.00,-0.49
"BOM DESPACHO - MG",2310603.67,2246855.66,-63748.01,-2.76
"NILOPOLIS - RJ",7364365.18,7358125.18,-6240.00,-0.08
"IRAI - RS",679115.52,674020.77,-5094.75,-0.75
"MOITA BONITA - SE",1053288.86,1043288.86,-10000.00,-0.95
"CACHOEIRO DE ITAPEMIRIM - ES",7114809.29,6792459.24,-322350.05,-4.53
"NAO-ME-TOQUE - RS",1000963.41,999231.28,-1732.13,-0.17
