"Mun","./backup/201508.zip","novo/201508.zip","Diff","Percent"
"TARTARUGALZINHO - AP",1125508.97,1119258.97,-6250.00,-0.56
"OLIVEIRA DE FATIMA - TO",471191.46,466941.46,-4250.00,-0.90
"SAO JOSE DO CALCADO - ES",968428.51,959678.51,-8750.00,-0.90
"PALMEIRA DAS MISSOES - RS",1737324.99,1706407.38,-30917.61,-1.78
"TRES DE MAIO - RS",1642079.39,1615324.87,-26754.52,-1.63
"VIAMAO - RS",7074678.58,6980928.58,-93750.00,-1.33
"ITAPEMIRIM - ES",25748125.93,25736875.93,-11250.00,-0.04
"NOVO CRUZEIRO - MG",1758166.44,1730679.56,-27486.88,-1.56
"CANGUCU - RS",2364493.49,2251782.81,-112710.68,-4.77
"TRES COROAS - RS",1487497.46,1454331.22,-33166.24,-2.23
"CUBATAO - SP",10346772.53,10340522.53,-6250.00,-0.06
"COLORADO DO OESTE - RO",1434993.22,1426243.22,-8750.00,-0.61
"SANTA RITA DO SAPUCAI - MG",2845184.32,2817705.15,-27479.17,-0.97
"SANANDUVA - RS",864757.96,857732.45,-7025.51,-0.81
"MAJOR ISIDORO - AL",2295784.78,2289534.78,-6250.00,-0.27
"PRAIA GRANDE - SP",12246105.31,12246105.31,0.00,0.00
"SAO MATEUS - ES",7569456.51,7558206.51,-11250.00,-0.15
"PINHAIS - PR",4329367.81,4315617.81,-13750.00,-0.32
"BUERAREMA - BA",1795654.68,1786904.68,-8750.00,-0.49
"FERRAZ DE VASCONCELOS - SP",5377964.37,5329214.37,-48750.00,-0.91
"OLHO D'AGUA GRANDE - AL",957561.16,951311.16,-6250.00,-0.65
"LIZARDA - TO",466862.81,460612.81,-6250.00,-1.34
"POCO FUNDO - MG",957748.00,949363.87,-8384.13,-0.88
"CALDAZINHA - GO",522781.49,522781.49,0.00,0.00
"SAO JOSE DO RIO PRETO - SP",15048093.25,14513751.32,-534341.93,-3.55
"CANDOI - PR",1302315.53,1296065.53,-6250.00,-0.48
"GONGOGI - BA",911871.20,905621.20,-6250.00,-0.69
"BOM SUCESSO - PB",629555.34,623305.34,-6250.00,-0.99
"CAFELANDIA - SP",1190227.75,1181477.75,-8750.00,-0.74
"CRICIUMA - SC",13136611.79,13130361.79,-6250.00,-0.05
"BELEM - PA",117036241.80,81832240.36,-35204001.44,-30.08
"LAJINHA - MG",1201248.36,1194661.00,-6587.36,-0.55
"SAO JOSE DO CAMPESTRE - RN",1295001.83,1288751.83,-6250.00,-0.48
"VARZEA GRANDE - MT",9171644.39,9149236.39,-22408.00,-0.24
"REGISTRO - SP",2968853.27,2909734.37,-59118.90,-1.99
"CUITE - PB",1751964.53,1743214.53,-8750.00,-0.50
"BETANIA - PE",1201340.03,1192590.03,-8750.00,-0.73
"IBIMIRIM - PE",2031844.84,2023094.84,-8750.00,-0.43
"PAUDALHO - PE",3528838.37,3508838.37,-20000.00,-0.57
"LAGOA NOVA - RN",1513023.47,1506773.47,-6250.00,-0.41
"AMPARO - SP",3774229.72,3765479.72,-8750.00,-0.23
"PEDRA AZUL - MG",1746616.03,1741768.90,-4847.13,-0.28
"BAEPENDI - MG",1278789.76,1249723.24,-29066.52,-2.27
"CUIABA - MT",60263404.51,33160373.97,-27103030.54,-44.97
"MESQUITA - RJ",6822915.75,6811665.75,-11250.00,-0.16
"MALHADA DOS BOIS - SE",592031.51,585781.51,-6250.00,-1.06
"SAO JOSE DO OURO - RS",505919.67,475585.02,-30334.65,-6.00
"GURUPI - TO",4317111.72,4296357.25,-20754.47,-0.48
"CORONEL FABRICIANO - MG",3836422.19,3821422.19,-15000.00,-0.39
"LINS - SP",3775746.77,3753996.77,-21750.00,-0.58
"ITACARAMBI - MG",1525990.45,1519740.45,-6250.00,-0.41
"PORTO LUCENA - RS",462486.25,460575.42,-1910.83,-0.41
"FORTALEZA - CE",215153193.13,160870770.48,-54282422.65,-25.23
"BRASILIA - DF",113011467.94,-21802079.51,-134813547.45,-119.29
"CONDOR - RS",537650.81,536437.80,-1213.01,-0.23
"SAO GABRIEL - RS",2505701.78,2494451.78,-11250.00,-0.45
"SAO FELIPE - BA",2060716.00,2049466.00,-11250.00,-0.55
"MARILIA - SP",10785114.44,10608846.03,-176268.41,-1.63
"SARANDI - RS",1110343.13,1099332.69,-11010.44,-0.99
"FAZENDA RIO GRANDE - PR",4069066.31,4062816.31,-6250.00,-0.15
"SAO SEBASTIAO DO CAI - RS",1452904.74,1444389.66,-8515.08,-0.59
"PARAISOPOLIS - MG",1067873.56,1060026.31,-7847.25,-0.73
"BODOCO - PE",2991709.22,2980459.22,-11250.00,-0.38
"UBA - MG",4191208.85,3838622.89,-352585.96,-8.41
"CENTENARIO DO SUL - PR",968325.22,957075.22,-11250.00,-1.16
"TIMOTEO - MG",3247424.66,3212502.48,-34922.18,-1.08
