"Mun","./backup/201603.zip","novo/201603.zip","Diff","Percent"
"OCAUCU - SP",426765.52,426765.52,0.00,0.00
"MONTE AZUL - MG",1439420.15,1439420.15,0.00,0.00
"SERRA DA RAIZ - PB",589408.10,589408.10,-0.00,-0.00
"PALMEIRA DAS MISSOES - RS",1762530.11,1664610.02,-97920.09,-5.56
"TRES DE MAIO - RS",1501320.43,1460666.57,-40653.86,-2.71
"VIAMAO - RS",6614087.62,6788318.46,174230.84,2.63
"SAO DOMINGOS DO ARAGUAIA - PA",2225210.49,2225210.49,-0.00,-0.00
"NOVO CRUZEIRO - MG",1795222.06,1778985.18,-16236.88,-0.90
"CANGUCU - RS",2456829.81,2273112.27,-183717.54,-7.48
"TRES COROAS - RS",1311068.30,1274491.18,-36577.12,-2.79
"PLANALTO - RS",708552.70,708552.70,0.00,0.00
"PORTO XAVIER - RS",730644.83,730644.83,-0.00,-0.00
"SANTA RITA DO SAPUCAI - MG",1790068.99,1762589.82,-27479.17,-1.54
"SANANDUVA - RS",988912.65,981887.14,-7025.51,-0.71
"SAO JOSE DO RIO PRETO - SP",18733800.83,18199458.90,-534341.93,-2.85
"BELEM - PA",101453941.26,72548848.36,-28905092.90,-28.49
"LAJINHA - MG",2069725.60,2063138.24,-6587.36,-0.32
"VARZEA GRANDE - MT",8205148.11,8182740.11,-22408.00,-0.27
"REGISTRO - SP",3336609.05,3277490.15,-59118.90,-1.77
"MORADA NOVA - CE",4478638.06,4478638.06,-0.00,-0.00
"PEDRA AZUL - MG",1660628.43,1651228.72,-9399.71,-0.57
"BAEPENDI - MG",1691885.06,1662818.53,-29066.53,-1.72
"CUIABA - MT",77768540.78,37560215.32,-40208325.46,-51.70
"MALHADA DOS BOIS - SE",594529.02,594529.02,0.00,0.00
"SAO JOSE DO OURO - RS",523343.13,499258.48,-24084.65,-4.60
"GURUPI - TO",4887651.14,4873146.65,-14504.49,-0.30
"PORTO LUCENA - RS",469002.46,465475.14,-3527.32,-0.75
"FORTALEZA - CE",244200586.01,148331339.39,-95869246.62,-39.26
"SAO ROQUE - SP",3952979.91,3952979.91,-0.00,-0.00
"BRASILIA - DF",694548030.05,622941778.05,-71606252.00,-10.31
"CONDOR - RS",521035.40,519822.39,-1213.01,-0.23
"MARILIA - SP",11665848.76,11247024.85,-418823.91,-3.59
"SARANDI - RS",1133362.25,1128601.81,-4760.44,-0.42
"SAO SEBASTIAO DO CAI - RS",1235180.70,1226665.62,-8515.08,-0.69
"IPORA - PR",1255294.64,1255294.64,-0.00,-0.00
"PARAISOPOLIS - MG",2591349.52,2583502.27,-7847.25,-0.30
"UBA - MG",3880006.87,3485076.77,-394930.10,-10.18
"SAO JOAO DEL REI - MG",5466823.36,5466823.36,-0.00,-0.00
"VICOSA DO CEARA - CE",4741710.73,4741710.73,0.00,0.00
"TUPA - SP",2700439.28,2517157.32,-183281.96,-6.79
"IVOTI - RS",1178590.40,1165550.68,-13039.72,-1.11
"SARANDI - PR",3368776.87,3225465.04,-143311.83,-4.25
"INHAPIM - MG",1593011.65,1577606.35,-15405.30,-0.97
"BRAGANCA PAULISTA - SP",11654983.70,11364514.81,-290468.89,-2.49
"CERES - GO",3521088.51,3521088.51,0.00,0.00
"BAMBUI - MG",1374781.87,1354101.82,-20680.05,-1.50
"PASSO FUNDO - RS",6293639.98,5807609.76,-486030.22,-7.72
"BARAO DE GRAJAU - MA",1747062.33,1747062.33,-0.00,-0.00
"GARCA - SP",2973075.26,2949015.27,-24059.99,-0.81
"JOAO PESSOA - PB",92750532.48,65497954.01,-27252578.47,-29.38
"MIRIM DOCE - SC",432796.10,432796.10,-0.00,-0.00
"SANTO CRISTO - RS",889730.02,878168.19,-11561.83,-1.30
"FERNANDOPOLIS - SP",3123076.41,2856056.27,-267020.14,-8.55
"FORMIGA - MG",3887456.12,3720909.62,-166546.50,-4.28
"CARPINA - PE",4049921.62,3943770.46,-106151.16,-2.62
"AIURUOCA - MG",529793.71,513474.44,-16319.27,-3.08
"CRUZ ALTA - RS",3504399.96,3039273.80,-465126.16,-13.27
"CORONEL VIVIDA - PR",2081442.85,2081442.85,-0.00,-0.00
"CARIACICA - ES",8217343.69,8044234.81,-173108.88,-2.11
"JAPONVAR - MG",662041.96,662041.96,-0.00,-0.00
"SAO LUIS - MA",118310529.61,70997724.52,-47312805.09,-39.99
"SANTA BARBARA DO SUL - RS",528402.85,518740.47,-9662.38,-1.83
"BARRO PRETO - BA",822047.85,822047.85,-0.00,-0.00
"EIRUNEPE - AM",2076401.16,2076401.16,0.00,0.00
"CERRO NEGRO - SC",794603.76,794603.76,-0.00,-0.00
"IRAI - RS",530973.80,527738.08,-3235.72,-0.61
"CACHOEIRO DE ITAPEMIRIM - ES",7344733.77,6741962.04,-602771.73,-8.21
"POJUCA - BA",2916135.38,2896216.84,-19918.54,-0.68
"PINDORAMA DO TOCANTINS - TO",524118.14,524118.14,-0.00,-0.00
"NAO-ME-TOQUE - RS",1012174.63,1009119.40,-3055.23,-0.30
"CLEVELANDIA - PR",1199766.78,1194017.79,-5748.99,-0.48
"ALEGRETE - RS",3604111.17,3433059.05,-171052.12,-4.75
"SOROCABA - SP",18769908.72,18482903.55,-287005.17,-1.53
"RUBIACEA - SP",443893.92,443893.92,-0.00,-0.00
"NOVA MARINGA - MT",501725.12,501725.12,-0.00,-0.00
"FEIRA DE SANTANA - BA",26963787.82,26927519.53,-36268.29,-0.13
"RIACHUELO - RN",794141.92,794141.92,0.00,0.00
"PUTINGA - RS",538158.89,534190.52,-3968.37,-0.74
"IJUI - RS",4397661.53,3391628.83,-1006032.70,-22.88
"BEBEDOURO - SP",3731304.95,3731304.95,0.00,0.00
"MAUA - SP",15727361.28,15727361.28,-0.00,-0.00
"CARUARU - PE",15324148.24,15246657.65,-77490.59,-0.51
"MONTES CLAROS - MG",17283835.57,12566026.73,-4717808.84,-27.30
"ILHEUS - BA",11808499.10,11584698.50,-223800.60,-1.90
"IMPERATRIZ - MA",22880836.74,22880836.74,0.00,0.00
"ANDRADAS - MG",1691672.25,1652219.19,-39453.06,-2.33
"BOA VISTA - RR",83719491.31,45686165.96,-38033325.35,-45.43
"MIRAIMA - CE",1233263.16,1233263.16,-0.00,-0.00
"GANDU - BA",2527222.51,2527222.51,0.00,0.00
"SANTANOPOLIS - BA",920614.57,920614.57,-0.00,-0.00
"SAO SEBASTIAO DO RIO PRETO - MG",425016.99,425016.99,0.00,0.00
"CAMPANHA - MG",966895.89,960181.28,-6714.61,-0.69
"BAGE - RS",4504633.61,4174607.97,-330025.64,-7.33
"PITANGUEIRAS - SP",1700628.00,1700628.00,0.00,0.00
"SAO JERONIMO - RS",984640.92,939653.74,-44987.18,-4.57
"VILA VELHA - ES",11607257.25,11481969.44,-125287.81,-1.08
"BAIAO - PA",3351489.07,3351489.07,0.00,0.00
"ESPLANADA - BA",3358960.31,3332809.81,-26150.50,-0.78
"JULIO DE CASTILHOS - RS",1429975.39,1429975.39,0.00,0.00
"CHAVANTES - SP",647120.26,642073.00,-5047.26,-0.78
"PALMELO - GO",508725.96,508725.96,-0.00,-0.00
"ABRE CAMPO - MG",990187.03,976685.30,-13501.73,-1.36
"ARCOS - MG",2411368.41,2391362.98,-20005.43,-0.83
"PIUMHI - MG",2071301.37,2043928.47,-27372.90,-1.32
"PORTO VELHO - RO",57656216.62,35335797.19,-22320419.43,-38.71
"MARQUES DE SOUZA - RS",536383.44,536383.44,0.00,0.00
"PARAPUA - SP",702632.33,702632.33,-0.00,-0.00
"CUNHA PORA - SC",707250.53,703526.94,-3723.59,-0.53
"FLORIANOPOLIS - SC",77112538.42,19070725.08,-58041813.34,-75.27
"TRES PASSOS - RS",1627627.80,1471059.11,-156568.69,-9.62
"PONTA GROSSA - PR",10416134.33,9602203.24,-813931.09,-7.81
"ITACOATIARA - AM",7826919.52,7826919.52,0.00,0.00
"LIMOEIRO - PE",3884138.64,3849779.78,-34358.86,-0.88
"CANTA - RR",1289646.60,1289646.60,-0.00,-0.00
"SAO BERNARDO DO CAMPO - SP",38560233.95,38560233.95,0.00,0.00
"ITAQUIRAI - MS",1558040.67,1551865.86,-6174.81,-0.40
"LAGUNA - SC",2324578.95,2324578.95,0.00,0.00
"TRABIJU - SP",427340.47,427340.47,0.00,0.00
"TUPANCIRETA - RS",1101478.78,1081256.08,-20222.70,-1.84
"SANTANA DO LIVRAMENTO - RS",3190634.14,2975054.24,-215579.90,-6.76
"ARACAJU - SE",69025486.88,44229165.21,-24796321.67,-35.92
"QUEIMADAS - BA",2643434.39,2626836.93,-16597.46,-0.63
"SANTO AMARO - BA",4762133.33,4746227.54,-15905.79,-0.33
"ABREU E LIMA - PE",4767396.23,4767396.23,-0.00,-0.00
"IGREJINHA - RS",1622170.67,1615169.24,-7001.43,-0.43
"TANGARA - RN",1477647.13,1477647.13,-0.00,-0.00
"ARAPOEMA - TO",508510.25,508510.25,0.00,0.00
"SAO FRANCISCO DO PARA - PA",1467701.39,1467701.39,-0.00,-0.00
"PIRATINI - RS",1024306.23,1008811.87,-15494.36,-1.51
"IBIRAIARAS - RS",476202.67,476202.67,-0.00,-0.00
"ASSAI - PR",1027773.47,1027773.47,-0.00,-0.00
"NONOAI - RS",938479.31,931852.47,-6626.84,-0.71
"CANDIDO GODOI - RS",571223.93,567988.21,-3235.72,-0.57
"CARATINGA - MG",5048274.98,5048274.98,0.00,0.00
"REDENCAO - CE",2814802.32,2814802.32,-0.00,-0.00
"MURIAE - MG",6072471.92,5994720.68,-77751.24,-1.28
"BARAO DE MONTE ALTO - MG",970131.11,970131.11,-0.00,-0.00
"SANTO ANGELO - RS",3161127.20,2941003.05,-220124.15,-6.96
"CONCEICAO DO COITE - BA",4275962.47,4200040.57,-75921.90,-1.78
"MINAS NOVAS - MG",1861878.73,1850785.10,-11093.63,-0.60
"FRANCA - SP",8540324.28,7501539.39,-1038784.89,-12.16
"JEQUIE - BA",10673762.41,10334185.96,-339576.45,-3.18
