"Mun","./backup/201402.zip","novo/201402.zip","Diff","Percent"
"MONTE AZUL - MG",1804708.48,1800935.71,-3772.77,-0.21
"PALMEIRA DAS MISSOES - RS",2355740.86,2323474.43,-32266.43,-1.37
"TRES DE MAIO - RS",1714594.77,1687840.25,-26754.52,-1.56
"SOBRAL - CE",28840371.94,28840371.94,0.00,0.00
"NOVO CRUZEIRO - MG",2661672.37,2652619.08,-9053.29,-0.34
"TRES COROAS - RS",1806096.97,1783123.19,-22973.78,-1.27
"SANTA RITA DO SAPUCAI - MG",2515463.68,2490228.88,-25234.80,-1.00
"SANANDUVA - RS",1220337.01,1213311.50,-7025.51,-0.58
"GLORIA DE DOURADOS - MS",853864.95,853864.95,-0.00,-0.00
"PINHAIS - PR",5605016.56,5593539.87,-11476.69,-0.20
"CACHOEIRA DE PAJEU - MG",905060.99,902081.29,-2979.70,-0.33
"POCO FUNDO - MG",1322802.65,1314418.51,-8384.14,-0.63
"SAO JOSE DO RIO PRETO - SP",19722309.13,19557741.13,-164568.00,-0.83
"BOM SUCESSO - MG",1654345.13,1654345.13,-0.00,-0.00
"BELEM - PA",115699751.68,91751787.95,-23947963.73,-20.70
"VARZEA GRANDE - MT",12183730.67,12175464.11,-8266.56,-0.07
"REGISTRO - SP",3398391.93,3353090.02,-45301.91,-1.33
"MARECHAL CANDIDO RONDON - PR",3992988.42,3924591.42,-68397.00,-1.71
"CUIABA - MT",82881373.18,41059450.45,-41821922.73,-50.46
"SAO SEBASTIAO DA BELA VISTA - MG",719731.31,719731.31,-0.00,-0.00
"SAO JOSE DO OURO - RS",854471.13,839505.00,-14966.13,-1.75
"JAPERI - RJ",5122738.28,5101965.00,-20773.28,-0.41
"CORONEL FABRICIANO - MG",5278487.02,5273061.29,-5425.73,-0.10
"PORTO LUCENA - RS",668242.40,666331.57,-1910.83,-0.29
"FORTALEZA - CE",276122408.14,183155143.08,-92967265.06,-33.67
"GUARAPARI - ES",6076263.40,6071339.57,-4923.83,-0.08
"BRASILIA - DF",-85112.79,-4904358.26,-4819245.47,5662.19
"CONDOR - RS",709188.91,707975.90,-1213.01,-0.17
"SAO GABRIEL - RS",3802203.35,3789863.46,-12339.89,-0.32
"MARILIA - SP",14714169.48,14544151.07,-170018.41,-1.16
"SARANDI - RS",2082755.25,2077994.81,-4760.44,-0.23
"SAO SEBASTIAO DO CAI - RS",1492460.47,1483945.39,-8515.08,-0.57
"PARAISOPOLIS - MG",1536622.89,1532634.00,-3988.89,-0.26
"UBA - MG",5259968.97,5078939.21,-181029.76,-3.44
"TIMOTEO - MG",4968691.36,4933769.18,-34922.18,-0.70
"TUPA - SP",3362976.29,3270136.05,-92840.24,-2.76
"IVOTI - RS",1409275.34,1402871.82,-6403.52,-0.45
"SARANDI - PR",4893923.32,4859773.65,-34149.67,-0.70
"FELIZ NATAL - MT",1043347.55,1043347.55,-0.00,-0.00
"INHAPIM - MG",1975695.18,1951890.78,-23804.40,-1.20
"SENHORA DOS REMEDIOS - MG",1010923.86,1010923.86,0.00,0.00
"BRAGANCA PAULISTA - SP",9840785.32,9765785.32,-75000.00,-0.76
"CAMPOS DOS GOYTACAZES - RJ",204818854.70,204268854.70,-550000.00,-0.27
"BAMBUI - MG",1692347.51,1671667.46,-20680.05,-1.22
"PASSO FUNDO - RS",8217315.90,7863822.56,-353493.34,-4.30
"GARCA - SP",3437684.11,3423995.40,-13688.71,-0.40
"JOAO PESSOA - PB",114217312.87,78190046.83,-36027266.04,-31.54
"SANTO CRISTO - RS",1421507.60,1414620.90,-6886.70,-0.48
"SAO JOSE DA LAPA - MG",3236280.53,3236280.53,-0.00,-0.00
"FERNANDOPOLIS - SP",3886920.35,3625655.15,-261265.20,-6.72
"CAMBUI - MG",2029495.41,2021899.05,-7596.36,-0.37
"FORMIGA - MG",4667188.15,4500641.65,-166546.50,-3.57
"CARPINA - PE",5207446.27,5101295.11,-106151.16,-2.04
"AIURUOCA - MG",770690.02,754370.75,-16319.27,-2.12
"CRUZ ALTA - RS",3736840.64,3514990.28,-221850.36,-5.94
"CAMPO ALEGRE DE LOURDES - BA",3669097.54,3650365.54,-18732.00,-0.51
"ROLANTE - RS",2340054.03,2340054.03,-0.00,-0.00
"CARIACICA - ES",10925902.45,10843066.83,-82835.62,-0.76
"SANTIAGO - RS",2866890.52,2844944.61,-21945.91,-0.77
"SAO LUIS - MA",149033038.57,100303709.49,-48729329.08,-32.70
"BOM DESPACHO - MG",2892121.34,2848873.33,-43248.01,-1.50
"IRAI - RS",725511.42,720416.67,-5094.75,-0.70
"CACHOEIRO DE ITAPEMIRIM - ES",9905764.19,9583414.14,-322350.05,-3.25
"NAO-ME-TOQUE - RS",1402494.65,1399689.61,-2805.04,-0.20
"CLEVELANDIA - PR",1648553.24,1642804.25,-5748.99,-0.35
"ALEGRETE - RS",4214135.30,4038550.27,-175585.03,-4.17
"SOROCABA - SP",19974194.54,19781582.82,-192611.72,-0.96
"RAUL SOARES - MG",2007510.95,2001994.81,-5516.14,-0.27
"IJUI - RS",5011054.93,4114927.49,-896127.44,-17.88
"CACERES - MT",4736909.71,4288842.48,-448067.23,-9.46
"MAUA - SP",19181749.09,19104863.75,-76885.34,-0.40
"CARUARU - PE",19457169.84,19252421.73,-204748.11,-1.05
"MONTES CLAROS - MG",32781069.45,32410517.45,-370552.00,-1.13
"LIMA DUARTE - MG",1423933.87,1407815.32,-16118.55,-1.13
"ARACUAI - MG",2534935.13,2483899.84,-51035.29,-2.01
"ILHEUS - BA",17649376.65,16384508.18,-1264868.47,-7.17
"ANDRADAS - MG",2466855.11,2433354.51,-33500.60,-1.36
"BOA VISTA - RR",59405015.68,48956175.97,-10448839.71,-17.59
"ITABUNA - BA",23226574.33,22250644.32,-975930.01,-4.20
"BELFORD ROXO - RJ",17435637.15,17320347.73,-115289.42,-0.66
"CAMPANHA - MG",1341854.67,1331839.97,-10014.70,-0.75
"CHOPINZINHO - PR",2648725.56,2637630.26,-11095.30,-0.42
"BAGE - RS",5972945.91,5683288.42,-289657.49,-4.85
"PIRENOPOLIS - GO",1909847.99,1909847.99,-0.00,-0.00
"ALMIRANTE TAMANDARE - PR",5124430.86,5124430.86,0.00,0.00
"RIO PARDO - RS",2763770.66,2734854.85,-28915.81,-1.05
"BOM JESUS DO ITABAPOANA - RJ",2217814.66,2113241.47,-104573.19,-4.72
"JACINTO - MG",1237866.78,1231956.67,-5910.11,-0.48
"TANGUA - RJ",2502778.75,2470955.77,-31822.98,-1.27
"SANTO ANTONIO DA PATRULHA - RS",2337000.24,2317346.52,-19653.72,-0.84
"IPANEMA - MG",1600627.51,1593295.25,-7332.26,-0.46
"JACUTINGA - MG",2052181.09,2044082.46,-8098.63,-0.39
"ABRE CAMPO - MG",1338865.87,1327084.07,-11781.80,-0.88
"ITALVA - RJ",1309533.48,1267017.72,-42515.76,-3.25
"ARCOS - MG",2727858.37,2709206.21,-18652.16,-0.68
"PIUMHI - MG",2399088.26,2378146.77,-20941.49,-0.87
"PORTO VELHO - RO",46609165.54,31479344.47,-15129821.07,-32.46
"CUNHA PORA - SC",942849.58,939125.99,-3723.59,-0.39
"JANAUBA - MG",4187775.68,4061588.14,-126187.54,-3.01
"GENERAL SALGADO - SP",929573.84,925370.98,-4202.86,-0.45
"ITAMBE - BA",2824717.71,2811446.81,-13270.90,-0.47
"ITAPERUNA - RJ",10934729.24,10934729.24,0.00,0.00
"FLORIANOPOLIS - SC",83454795.41,23580642.15,-59874153.26,-71.74
"TRES PASSOS - RS",2263712.13,2197596.53,-66115.60,-2.92
"CARLOS CHAGAS - MG",1688947.23,1676370.57,-12576.66,-0.74
"PONTA GROSSA - PR",12299394.29,12089371.06,-210023.23,-1.71
"LIMOEIRO - PE",5240562.28,5206203.42,-34358.86,-0.66
"ILICINEA - MG",1090227.55,1088325.28,-1902.27,-0.17
"SEVERIANO DE ALMEIDA - RS",904682.91,903711.42,-971.49,-0.11
"ITAQUIRAI - MS",2099197.84,2093548.22,-5649.62,-0.27
"SANTANA DO LIVRAMENTO - RS",4198668.75,4160871.45,-37797.30,-0.90
"ARACAJU - SE",102994684.13,53677742.26,-49316941.87,-47.88
"AUGUSTO CORREA - PA",5575095.85,5547155.93,-27939.92,-0.50
"QUEIMADAS - BA",3094763.09,3078165.61,-16597.48,-0.54
"SANTO AMARO - BA",5654215.45,5641856.03,-12359.42,-0.22
"SIMPLICIO MENDES - PI",1898962.16,1898962.16,-0.00,-0.00
"ARARIPINA - PE",7013591.91,7013591.91,-0.00,-0.00
"IGREJINHA - RS",2119259.15,2101236.74,-18022.41,-0.85
"ANDRADINA - SP",4344010.23,4279698.75,-64311.48,-1.48
"GUARACIABA - MG",1184430.81,1180829.03,-3601.78,-0.30
"CABO FRIO - RJ",46174635.55,45943538.35,-231097.20,-0.50
"PIRATINI - RS",1432476.59,1410312.01,-22164.58,-1.55
"ASSAI - PR",1506787.91,1488882.65,-17905.26,-1.19
"NONOAI - RS",1141506.46,1117442.57,-24063.89,-2.11
"ARAGUATINS - TO",3009949.37,3009949.37,0.00,0.00
"SAO JOSE DO BELMONTE - PE",3069609.93,3057131.90,-12478.03,-0.41
"PORCIUNCULA - RJ",1546200.87,1534545.10,-11655.77,-0.75
"MURIAE - MG",6385391.56,6230912.00,-154479.56,-2.42
"SANTO ANGELO - RS",4150597.23,4012285.68,-138311.55,-3.33
"MINAS NOVAS - MG",2388353.41,2384192.62,-4160.79,-0.17
"FRANCA - SP",11214485.15,10175700.26,-1038784.89,-9.26
"JEQUIE - BA",14283925.36,13954677.07,-329248.29,-2.31
"CAMBORIU - SC",4239970.73,4206946.98,-33023.75,-0.78
"ESPERA FELIZ - MG",2020263.25,2011079.10,-9184.15,-0.45
"COLATINA - ES",8777780.03,8735764.03,-42016.00,-0.48
"DIVINO - MG",1668348.46,1660908.97,-7439.49,-0.45
"REBOUCAS - PR",1387706.33,1380915.35,-6790.98,-0.49
"SAO JOAO NEPOMUCENO - MG",1966296.59,1946025.69,-20270.90,-1.03
"BUENO BRANDAO - MG",978460.54,970819.99,-7640.55,-0.78
"VISCONDE DO RIO BRANCO - MG",2574384.78,2564274.43,-10110.35,-0.39
"VALENCA - BA",9421293.89,9309589.69,-111704.20,-1.19
