"Mun","./backup/201404.zip","novo/201404.zip","Diff","Percent"
"TARTARUGALZINHO - AP",1208345.25,1183445.25,-24900.00,-2.06
"CONTENDA - PR",1756527.83,1733972.32,-22555.51,-1.28
"OLIVEIRA DE FATIMA - TO",675134.33,669714.33,-5420.00,-0.80
"PAQUETA - PI",791495.37,789305.37,-2190.00,-0.28
"MONTE AZUL - MG",1735846.76,1689085.54,-46761.22,-2.69
"POTIM - SP",1518268.92,1511158.92,-7110.00,-0.47
"BAIXA GRANDE DO RIBEIRO - PI",1248078.81,1228328.81,-19750.00,-1.58
"LAVINIA - SP",631560.49,629260.49,-2300.00,-0.36
"PANAMBI - RS",2775498.87,2739046.51,-36452.36,-1.31
"SAO JOSE DO CALCADO - ES",1292749.86,1282489.86,-10260.00,-0.79
"SAO JOSE DO JACURI - MG",705072.82,696768.57,-8304.25,-1.18
"SANTO ANASTACIO - SP",1477329.72,1460779.72,-16550.00,-1.12
"MONTE ALEGRE DO SUL - SP",703197.75,699287.75,-3910.00,-0.56
"JARDIM DE PIRANHAS - RN",1441494.24,1435464.24,-6030.00,-0.42
"TAIUVA - SP",798293.70,793273.70,-5020.00,-0.63
"IBIAPINA - CE",2540430.91,2529027.07,-11403.84,-0.45
"PALMEIRA DAS MISSOES - RS",2060945.95,1953157.03,-107788.92,-5.23
"ALTO ARAGUAIA - MT",1232192.48,1214542.48,-17650.00,-1.43
"MATERLANDIA - MG",672507.73,665647.73,-6860.00,-1.02
"BANABUIU - CE",2028202.76,2018922.76,-9280.00,-0.46
"HORIZONTINA - RS",1550389.20,1541489.20,-8900.00,-0.57
"NOSSA SENHORA DA GLORIA - SE",2807429.81,2800989.81,-6440.00,-0.23
"TRES DE MAIO - RS",2991020.94,2935336.42,-55684.52,-1.86
"CARIRI DO TOCANTINS - TO",899065.16,890895.16,-8170.00,-0.91
"VIAMAO - RS",8151360.70,7894363.63,-256997.07,-3.15
"SAO PEDRO DO IVAI - PR",993021.64,980711.64,-12310.00,-1.24
