"Mun","./backup/201506.zip","novo/201506.zip","Diff","Percent"
"TARTARUGALZINHO - AP",3057708.14,3037008.14,-20700.00,-0.68
"CONTENDA - PR",1304802.20,1283252.19,-21550.01,-1.65
"SERRA DA RAIZ - PB",768028.91,768028.91,0.00,0.00
"PALMEIRA DAS MISSOES - RS",1951316.54,1854034.94,-97281.60,-4.99
"TRES DE MAIO - RS",1617256.40,1498031.30,-119225.10,-7.37
"VIAMAO - RS",8287248.53,8079352.27,-207896.26,-2.51
"HIDROLINA - GO",609718.58,592756.57,-16962.01,-2.78
"ITAPEMIRIM - ES",9113405.31,9100105.31,-13300.00,-0.15
"NOVO CRUZEIRO - MG",1924517.48,1908280.60,-16236.88,-0.84
"NOVA HARTZ - RS",1534440.39,1480170.21,-54270.18,-3.54
"CANGUCU - RS",3229016.32,3064910.29,-164106.03,-5.08
"TRES COROAS - RS",1540257.33,1517283.55,-22973.78,-1.49
"CUBATAO - SP",9968645.86,9964645.86,-4000.00,-0.04
"PLANALTO - RS",926744.12,898844.12,-27900.00,-3.01
"PORTO XAVIER - RS",900846.47,860096.47,-40750.00,-4.52
"SANTA RITA DO SAPUCAI - MG",2089346.82,2061867.65,-27479.17,-1.32
"SANANDUVA - RS",1016533.69,1009508.18,-7025.51,-0.69
"PRAIA GRANDE - SP",12023273.54,11972730.72,-50542.82,-0.42
"BORBA - AM",3105634.23,3070028.75,-35605.48,-1.15
"TRIUNFO - PE",1525110.60,1500867.59,-24243.01,-1.59
"FERRAZ DE VASCONCELOS - SP",6505561.42,6458211.42,-47350.00,-0.73
"ASTORGA - PR",1753064.73,1741714.73,-11350.00,-0.65
"LIZARDA - TO",553649.27,543759.13,-9890.14,-1.79
"POCO FUNDO - MG",1048647.43,1040263.29,-8384.14,-0.80
"LIMEIRA - SP",13233438.32,13203588.32,-29850.00,-0.23
"SAO JOSE DO RIO PRETO - SP",17254864.34,16720522.41,-534341.93,-3.10
"ARENOPOLIS - GO",593665.33,574143.65,-19521.68,-3.29
"ITAPIRAPUA - GO",735109.96,674285.13,-60824.83,-8.27
"ASSIS - SP",4818927.86,4785177.86,-33750.00,-0.70
"GOIOERE - PR",2024848.38,2011348.38,-13500.00,-0.67
"BELEM - PA",104115723.52,82628299.89,-21487423.63,-20.64
"LAJINHA - MG",1461556.65,1454969.29,-6587.36,-0.45
"SAO JOSE DO CAMPESTRE - RN",1941116.94,1896082.68,-45034.26,-2.32
"VARZEA GRANDE - MT",9624959.23,9602551.23,-22408.00,-0.23
"BURITI DE GOIAS - GO",551212.36,538983.82,-12228.54,-2.22
"DAMOLANDIA - GO",582341.09,569552.34,-12788.75,-2.20
"REGISTRO - SP",3050049.54,2974702.08,-75347.46,-2.47
"SAO JOAO DA PARAUNA - GO",535375.53,520112.02,-15263.51,-2.85
"LAGOA NOVA - RN",1956720.25,1930700.93,-26019.32,-1.33
"BELA VISTA DE GOIAS - GO",1753793.47,1666122.53,-87670.94,-5.00
