"Mun","./backup/201405.zip","novo/201405.zip","Diff","Percent"
"TERRA NOVA - BA",1510270.45,1509493.56,-776.89,-0.05
"TARTARUGALZINHO - AP",1070806.35,1017269.63,-53536.72,-5.00
"OLIVEIRA DE FATIMA - TO",884633.14,864633.14,-20000.00,-2.26
"OCAUCU - SP",589611.28,587607.24,-2004.04,-0.34
"MONTE AZUL - MG",1968996.88,1824874.11,-144122.77,-7.32
"CAMPO BELO DO SUL - SC",1244807.20,1236227.20,-8580.00,-0.69
"ITAPOA - SC",1829869.62,1820549.62,-9320.00,-0.51
"ITANHEM - BA",3192054.26,3181060.21,-10994.05,-0.34
"MAETINGA - BA",1408092.23,1404232.51,-3859.72,-0.27
"PANAMBI - RS",2633009.18,2593009.18,-40000.00,-1.52
"SERRA DA RAIZ - PB",762658.26,757878.26,-4780.00,-0.63
"SAO JOSE DO JACURI - MG",712656.69,678066.69,-34590.00,-4.85
"UMBUZEIRO - PB",1302812.11,1297713.23,-5098.88,-0.39
"MALHADA - BA",2797564.85,2787264.85,-10300.00,-0.37
"PALMEIRA DAS MISSOES - RS",1916622.87,1900705.26,-15917.61,-0.83
"SAO DOMINGOS DO AZEITAO - MA",1223857.89,1220477.89,-3380.00,-0.28
"BACABEIRA - MA",2355243.52,2349523.52,-5720.00,-0.24
"NOSSA SENHORA DA GLORIA - SE",2979948.83,2964848.83,-15100.00,-0.51
"IPIRA - SC",747724.88,744814.88,-2910.00,-0.39
"HELIOPOLIS - BA",1988849.97,1982229.97,-6620.00,-0.33
"TRES DE MAIO - RS",1867324.68,1820570.16,-46754.52,-2.50
"VIAMAO - RS",7709299.07,7808925.03,99625.96,1.29
"PORTO UNIAO - SC",2296916.67,2251352.44,-45564.23,-1.98
"AMERICA DOURADA - BA",2629005.16,2620355.16,-8650.00,-0.33
"SAO DOMINGOS DO ARAGUAIA - PA",4814796.67,4802066.67,-12730.00,-0.26
"SALITRE - CE",3069017.62,3062507.62,-6510.00,-0.21
"PATO BRAGADO - PR",736763.33,677163.33,-59600.00,-8.09
"MAE DO RIO - PA",4806620.30,4789500.30,-17120.00,-0.36
"SOBRAL - CE",28239870.68,28217870.68,-22000.00,-0.08
"CAPINZAL DO NORTE - MA",1794174.71,1788904.71,-5270.00,-0.29
"DONA INES - PB",2018618.14,2009358.14,-9260.00,-0.46
"VESPASIANO - MG",6552599.10,6532139.23,-20459.87,-0.31
"ITAPEMIRIM - ES",26532536.88,26460456.88,-72080.00,-0.27
"ANDORINHA - BA",2081972.44,2074812.44,-7160.00,-0.34
"LAGOA DE DENTRO - PB",2093049.37,2084619.37,-8430.00,-0.40
"NOVO CRUZEIRO - MG",2348787.86,2069102.86,-279685.00,-11.91
"OUREM - PA",2352898.70,2327461.09,-25437.61,-1.08
"COQUEIRO BAIXO - RS",563196.90,543196.90,-20000.00,-3.55
"CARMO DO PARANAIBA - MG",2230909.96,2177071.28,-53838.68,-2.41
"SAO MIGUEL ARCANJO - SP",1943925.90,1903005.90,-40920.00,-2.11
"DOIS IRMAOS - RS",2443216.62,2383216.62,-60000.00,-2.46
"LARANJEIRAS - SE",3144114.81,3136434.81,-7680.00,-0.24
"CANGUCU - RS",3294590.34,3185120.34,-109470.00,-3.32
"RUY BARBOSA - BA",3614578.16,3612838.16,-1740.00,-0.05
"RAPOSOS - MG",1246351.93,1233535.76,-12816.17,-1.03
"ITAIPULANDIA - PR",848281.35,788281.35,-60000.00,-7.07
"TRES COROAS - RS",1824484.18,1741510.40,-82973.78,-4.55
"BETIM - MG",22802329.96,22611199.46,-191130.50,-0.84
"BOA VENTURA DE SAO ROQUE - PR",794901.19,744901.19,-50000.00,-6.29
"VISTA GAUCHA - RS",838907.24,808907.24,-30000.00,-3.58
"MARMELEIRO - PR",1276528.05,1269028.05,-7500.00,-0.59
"FILADELFIA - BA",2407959.82,2399669.82,-8290.00,-0.34
"COLORADO DO OESTE - RO",1323807.64,1247737.64,-76070.00,-5.75
"SANTA RITA DO SAPUCAI - MG",3047670.22,2939859.71,-107810.51,-3.54
"GAROPABA - SC",1381081.74,1359871.74,-21210.00,-1.54
"GUARANI DAS MISSOES - RS",832996.08,762996.08,-70000.00,-8.40
"JOAO NEIVA - ES",1549879.62,1544899.62,-4980.00,-0.32
"COLINAS - MA",5187114.45,5157274.45,-29840.00,-0.58
"ACORIZAL - MT",575283.80,567783.80,-7500.00,-1.30
"SANANDUVA - RS",1489433.13,1482407.62,-7025.51,-0.47
"SANTA QUITERIA DO MARANHAO - MA",5306646.62,5297076.62,-9570.00,-0.18
"MAJOR ISIDORO - AL",2826878.26,2819378.26,-7500.00,-0.27
"ALMADINA - BA",1068272.12,1066108.58,-2163.54,-0.20
"PRAIA GRANDE - SP",12075143.57,12006993.57,-68150.00,-0.56
"TERESOPOLIS - RJ",10661731.86,10651731.86,-10000.00,-0.09
