"Mun","entrada/abril/202009.zip","entrada/maio/202009.zip","Diff","Percent"
"SAO JOAO DEL REI - MG",10534026.05,10534026.05,-0.00,-0.00
"ANDIRA - PR",2048435.05,2048435.05,-0.00,-0.00
"CONCHAS - SP",1889234.59,1889234.59,0.00,0.00
"ITUMIRIM - MG",817946.44,817946.44,-0.00,-0.00
"FARTURA - SP",1711379.32,1711379.32,-0.00,-0.00
"SANTA CLARA D'OESTE - SP",625979.55,625979.55,0.00,0.00
"ITAPURA - SP",757711.91,757711.91,-0.00,-0.00
"IBIRAREMA - SP",1054209.11,1054209.11,0.00,0.00
"NOVA PONTE - MG",1975284.13,1975284.13,0.00,0.00
"CARRANCAS - MG",773434.41,773434.41,0.00,0.00
"ANDRADINA - SP",4874883.11,4874883.11,-0.00,-0.00
"SIQUEIRA CAMPOS - PR",2184570.53,2184570.53,-0.00,-0.00
"BARRETOS - SP",15634740.39,15634740.39,-0.00,-0.00
"CORONEL MACEDO - SP",825315.31,825315.31,-0.00,-0.00
"SAO JOAO BATISTA DO GLORIA - MG",953842.35,953842.35,-0.00,-0.00
"SANTA RITA D'OESTE - SP",680267.66,680267.66,0.00,0.00
"DIVINOLANDIA - SP",1216944.87,1216944.87,-0.00,-0.00
"TAGUAI - SP",1508317.59,1508317.59,0.00,0.00
"ITAPORANGA - SP",1728433.14,1728433.14,0.00,0.00
"PIRAJU - SP",2941432.76,2941432.76,0.00,0.00
"CANA VERDE - MG",898109.84,898109.84,-0.00,-0.00
"CAJAMAR - SP",6339260.52,6339260.52,-0.00,-0.00
"RIBAS DO RIO PARDO - MS",3082772.55,3082772.55,-0.00,-0.00
"SANTA MARIANA - PR",1454227.14,1454227.14,-0.00,-0.00
"NOVA ODESSA - SP",4949375.86,4949375.86,-0.00,-0.00
"SAO JOSE DAS PALMEIRAS - PR",819882.79,819882.79,0.00,0.00
"FOZ DO IGUACU - PR",38005686.45,38005686.45,0.00,0.00
"CLARAVAL - MG",766380.57,766380.57,-0.00,-0.00
"PONGAI - SP",699736.65,699736.65,0.00,0.00
"MISSAL - PR",3429129.67,3429129.67,0.00,0.00
"CORUMBAIBA - GO",1470504.10,1470504.10,-0.00,-0.00
"ITUTINGA - MG",739583.69,739583.69,-0.00,-0.00
"ICEM - SP",981944.40,981944.40,0.00,0.00
"SAO FRANCISCO DE SALES - MG",951617.96,951617.96,-0.00,-0.00
"CANDIDO MOTA - SP",3206699.53,3206699.53,0.00,0.00
"CAPINOPOLIS - MG",1867612.12,1867612.12,0.00,0.00
"LOURDES - SP",732603.92,732603.92,0.00,0.00
"GOUVELANDIA - GO",951613.93,951613.93,0.00,0.00
"JATAIZINHO - PR",1420708.23,1420708.23,0.00,0.00
"MESOPOLIS - SP",601985.28,601985.28,-0.00,-0.00
"MACEDONIA - SP",678921.51,678921.51,0.00,0.00
"DAVINOPOLIS - GO",619838.28,619838.28,0.00,0.00
