"Mun","./backup/201708.zip","novo/201708.zip","Diff","Percent"
"SAO JOSE DO JACURI - MG",736221.32,613296.32,-122925.00,-16.70
"PALMEIRA DAS MISSOES - RS",2035306.73,1953304.25,-82002.48,-4.03
"TRES DE MAIO - RS",1700397.18,1686497.84,-13899.34,-0.82
"VIAMAO - RS",8615908.16,8565589.00,-50319.16,-0.58
"NOVO CRUZEIRO - MG",1956276.69,1949093.10,-7183.59,-0.37
"CANGUCU - RS",2700200.93,2516483.39,-183717.54,-6.80
"TRES COROAS - RS",1880165.54,1847751.30,-32414.24,-1.72
"CUBATAO - SP",10327709.14,10327709.14,0.00,0.00
"SANTA RITA DO SAPUCAI - MG",6179997.26,6147916.42,-32080.84,-0.52
"ALAGOINHA DO PIAUI - PI",1014507.84,1014507.84,-0.00,-0.00
"SAO JOSE DO RIO PRETO - SP",17826166.34,17291824.41,-534341.93,-3.00
"BOM SUCESSO - MG",1701787.41,1689301.02,-12486.39,-0.73
"BELEM - PA",107831156.49,73083069.18,-34748087.31,-32.22
"LAJINHA - MG",1433048.57,1426461.21,-6587.36,-0.46
"VARZEA GRANDE - MT",10300528.47,10278120.47,-22408.00,-0.22
"REGISTRO - SP",3209357.48,3150238.58,-59118.90,-1.84
"PEDRA AZUL - MG",1918382.34,1908982.63,-9399.71,-0.49
"BAEPENDI - MG",1385255.85,1356189.32,-29066.53,-2.10
"CUIABA - MT",72021298.21,44350948.56,-27670349.65,-38.42
"MARCELANDIA - MT",935380.07,935380.07,0.00,0.00
"SAO JOSE DO OURO - RS",778480.13,757567.19,-20912.94,-2.69
"ITAJAI - SC",16502923.73,16502923.73,0.00,0.00
"OLIMPIO NORONHA - MG",561661.33,561661.33,-0.00,-0.00
"PORTO LUCENA - RS",529983.40,528366.91,-1616.49,-0.31
"FORTALEZA - CE",248386704.07,176044497.61,-72342206.46,-29.12
"BRASILIA - DF",144887321.56,74127561.45,-70759760.11,-48.84
"SAO FELIX DO CORIBE - BA",1669464.97,1669464.97,0.00,0.00
"CANDEIAS - BA",7033509.44,7033509.44,-0.00,-0.00
"PARAISOPOLIS - MG",1650044.31,1646185.95,-3858.36,-0.23
"UBA - MG",5070495.41,4497966.18,-572529.23,-11.29
"TUPA - SP",3250684.68,3140484.14,-110200.54,-3.39
"IVOTI - RS",1246755.80,1240119.60,-6636.20,-0.53
"SARANDI - PR",3960033.88,3716173.46,-243860.42,-6.16
"INHAPIM - MG",1615763.83,1612993.66,-2770.17,-0.17
"BRAGANCA PAULISTA - SP",6971692.30,6896692.30,-75000.00,-1.08
"BAMBUI - MG",2143008.26,2122328.21,-20680.05,-0.97
"PASSO FUNDO - RS",7017548.65,6391571.77,-625976.88,-8.92
"ITUMBIARA - GO",5427704.03,5427704.03,-0.00,-0.00
"GARCA - SP",3391747.74,3350248.91,-41498.83,-1.22
"JOAO PESSOA - PB",90826658.13,65358778.41,-25467879.72,-28.04
"SANTO CRISTO - RS",1113249.83,1096520.25,-16729.58,-1.50
"FERNANDOPOLIS - SP",3584257.42,3326552.51,-257704.91,-7.19
"CAMBUI - MG",1842317.90,1833987.51,-8330.39,-0.45
"QUIXADA - CE",7194969.16,7194969.16,-0.00,-0.00
"FORMIGA - MG",3915380.76,3748834.26,-166546.50,-4.25
"AIURUOCA - MG",772991.31,756672.04,-16319.27,-2.11
"CRUZ ALTA - RS",4681181.83,4140522.36,-540659.47,-11.55
"CORONEL VIVIDA - PR",2129294.16,2129294.16,-0.00,-0.00
"CARIACICA - ES",13286156.20,13113047.32,-173108.88,-1.30
"SAO LUIS - MA",123545211.54,79724675.54,-43820536.00,-35.47
"CHA GRANDE - PE",2005766.36,2005766.36,-0.00,-0.00
"SANTA BARBARA DO SUL - RS",734419.08,728044.92,-6374.16,-0.87
"SERRA DO NAVIO - AP",1065838.36,1065838.36,-0.00,-0.00
"IRAI - RS",947883.37,944647.65,-3235.72,-0.34
"CACHOEIRO DE ITAPEMIRIM - ES",8867253.58,7732588.03,-1134665.55,-12.80
"LAURO DE FREITAS - BA",12144614.77,12144614.77,0.00,0.00
"ESPIRITO SANTO DO PINHAL - SP",2272934.38,2272934.38,-0.00,-0.00
"BOCAIUVA - MG",3246879.85,3246879.85,0.00,0.00
"POJUCA - BA",3360552.93,3340634.39,-19918.54,-0.59
"NAO-ME-TOQUE - RS",1418480.93,1416702.48,-1778.45,-0.13
"ALEGRETE - RS",4162596.46,3956167.61,-206428.85,-4.96
"SOROCABA - SP",18318496.35,18046542.45,-271953.90,-1.48
"TAUA - CE",5704648.37,5704648.37,0.00,0.00
"FEIRA DE SANTANA - BA",28310153.87,28045611.37,-264542.50,-0.93
"RIO BRILHANTE - MS",2536124.83,2536124.83,-0.00,-0.00
"BENTO GONCALVES - RS",6984373.14,6984373.14,0.00,0.00
"IJUI - RS",4986232.51,3684040.54,-1302191.97,-26.12
"CACERES - MT",3539247.22,3534228.98,-5018.24,-0.14
"MAUA - SP",15454371.11,15454371.11,-0.00,-0.00
"CARUARU - PE",18213624.92,18156975.69,-56649.23,-0.31
"JOAO MONLEVADE - MG",4208892.53,4208892.53,-0.00,-0.00
"MONTES CLAROS - MG",14113583.03,12912159.09,-1201423.94,-8.51
"ILHEUS - BA",13194920.45,12945227.03,-249693.42,-1.89
"ANDRADAS - MG",2220406.37,2180953.31,-39453.06,-1.78
"BOA VISTA - RR",61132429.43,42980266.05,-18152163.38,-29.69
"ITABUNA - BA",20523121.34,20523121.34,-0.00,-0.00
"BELFORD ROXO - RJ",14391571.88,14391571.88,-0.00,-0.00
"CAMPANHA - MG",1216208.82,1209494.21,-6714.61,-0.55
"CHOPINZINHO - PR",2805738.74,2805738.74,-0.00,-0.00
"BAGE - RS",5877295.44,5547269.80,-330025.64,-5.62
"SAO JERONIMO - RS",2113587.00,1990083.18,-123503.82,-5.84
"VILA VELHA - ES",14436518.19,14311230.38,-125287.81,-0.87
"BAIAO - PA",3275048.61,3275048.61,0.00,0.00
"ESPLANADA - BA",4285140.49,4264391.07,-20749.42,-0.48
"MARACAS - BA",2872348.60,2872348.60,-0.00,-0.00
"MANHUACU - MG",6957583.10,6957583.10,-0.00,-0.00
"CHAVANTES - SP",756846.24,751798.98,-5047.26,-0.67
"ANTONIO CARDOSO - BA",1259204.15,1259204.15,0.00,0.00
"CONCORDIA - SC",6258855.47,6258855.47,0.00,0.00
"ABRE CAMPO - MG",1090547.55,1077045.82,-13501.73,-1.24
"ARCOS - MG",2506195.28,2486189.85,-20005.43,-0.80
"ITAPUCA - RS",622028.40,622028.40,0.00,0.00
"SAO VICENTE - RN",978691.09,978691.09,-0.00,-0.00
"PORTO VELHO - RO",61058698.21,33672732.03,-27385966.18,-44.85
"SAO VICENTE - SP",15204811.94,15204811.94,-0.00,-0.00
"FLORIANOPOLIS - SC",77180659.81,19124782.50,-58055877.31,-75.22
"TRES PASSOS - RS",1832082.11,1694488.92,-137593.19,-7.51
"TRES CORACOES - MG",3534598.56,3472976.35,-61622.21,-1.74
"PONTA GROSSA - PR",10587428.87,9943568.69,-643860.18,-6.08
"ITAQUIRAI - MS",1533128.49,1526953.68,-6174.81,-0.40
"TUPANCIRETA - RS",1421886.13,1411486.54,-10399.59,-0.73
"ARACAJU - SE",66813571.77,40973987.30,-25839584.47,-38.67
"RODOLFO FERNANDES - RN",711686.47,711686.47,0.00,0.00
"MONTE ALEGRE DE SERGIPE - SE",1344901.95,1344901.95,0.00,0.00
"CAMPO BELO - MG",4047866.37,4047866.37,0.00,0.00
"ANAPOLIS - GO",19357363.88,19107363.88,-250000.00,-1.29
"CONDEUBA - BA",2020663.46,1907485.00,-113178.46,-5.60
"ANDRADINA - SP",2592776.74,2521749.79,-71026.95,-2.74
"LUCAS DO RIO VERDE - MT",3347431.14,3347431.14,0.00,0.00
"MUCUGE - BA",1152800.65,1152800.65,-0.00,-0.00
"NONOAI - RS",997406.05,990779.21,-6626.84,-0.66
"CANDIDO GODOI - RS",720315.80,717080.08,-3235.72,-0.45
"ITAPISSUMA - PE",2073041.70,2073041.70,-0.00,-0.00
"MURIAE - MG",5201467.86,5045224.40,-156243.46,-3.00
"SANTO ANGELO - RS",4109080.34,3930744.55,-178335.79,-4.34
"CONCEICAO DO COITE - BA",4231266.74,4155344.84,-75921.90,-1.79
"FRANCA - SP",9501492.25,8462707.36,-1038784.89,-10.93
"JEQUIE - BA",11604556.45,11183423.81,-421132.64,-3.63
"ESPERA FELIZ - MG",1870674.27,1858545.76,-12128.51,-0.65
"COLATINA - ES",9708776.96,9708776.96,-0.00,-0.00
"REBOUCAS - PR",1135910.29,1125627.44,-10282.85,-0.91
"ELISIO MEDRADO - BA",872649.40,872649.40,0.00,0.00
"ACEGUA - RS",571235.32,568566.14,-2669.18,-0.47
"BUENO BRANDAO - MG",783571.07,775718.11,-7852.96,-1.00
"SANTO ANTONIO DE JESUS - BA",6310403.99,6268896.86,-41507.13,-0.66
"VISCONDE DO RIO BRANCO - MG",2548908.45,2485037.89,-63870.56,-2.51
"VALENCA - BA",6235371.59,6074701.83,-160669.76,-2.58
"CURITIBA - PR",232429479.20,104164761.73,-128264717.47,-55.18
"GUACUI - ES",2515329.41,2464825.81,-50503.60,-2.01
"ASSIS BRASIL - AC",1254213.82,1254213.82,0.00,0.00
"ARACATUBA - SP",9069896.27,7857175.28,-1212720.99,-13.37
"BAURU - SP",17077437.08,17077437.08,0.00,0.00
"LAGOA REAL - BA",1405782.11,1405782.11,-0.00,-0.00
"DIVINOLANDIA - SP",910859.28,772287.33,-138571.95,-15.21
"CARANGOLA - MG",2484456.95,2235512.81,-248944.14,-10.02
"CACHOEIRINHA - RS",4535414.33,4459146.88,-76267.45,-1.68
"ARAPONGAS - PR",5122597.12,5060084.84,-62512.28,-1.22
"MEDINA - MG",1408187.10,1398600.09,-9587.01,-0.68
"RANCHARIA - SP",2087120.82,2087120.82,0.00,0.00
"TERESINA - PI",115370931.50,89030651.82,-26340279.68,-22.83
"OLIVEIRA - MG",2685847.53,2658166.60,-27680.93,-1.03
"NORMANDIA - RR",1326645.87,1326645.87,-0.00,-0.00
"CAMPO GRANDE - MS",83895838.73,54257466.68,-29638372.05,-35.33
"CACADOR - SC",3868969.14,3745124.44,-123844.70,-3.20
"NEPOMUCENO - MG",1980351.04,1971365.73,-8985.31,-0.45
"SAO CRISTOVAO - SE",5130351.74,5116495.46,-13856.28,-0.27
"CAMANDUCAIA - MG",1417731.31,1414574.86,-3156.45,-0.22
"MOJI MIRIM - SP",5276304.18,5276304.18,-0.00,-0.00
"TOLEDO - PR",6388798.20,6091641.15,-297157.05,-4.65
"OSASCO - SP",15989651.98,15840651.98,-149000.00,-0.93
"MUNDO NOVO - MS",1646470.03,1634391.95,-12078.08,-0.73
"SOBRADINHO - RS",1261395.78,1248326.73,-13069.05,-1.04
"JANDAIA DO SUL - PR",2035226.76,2035226.76,0.00,0.00
"MACAPA - AP",55503425.07,38853136.61,-16650288.46,-30.00
"PALMARES - PE",4861025.44,4725879.95,-135145.49,-2.78
"MARINGA - PR",26484457.59,26284612.59,-199845.00,-0.75
"TANQUE D'ARCA - AL",838442.68,838442.68,0.00,0.00
"SAO MATEUS DO SUL - PR",2502300.69,2493810.61,-8490.08,-0.34
"DIADEMA - SP",12200526.22,12200526.22,-0.00,-0.00
"ARVOREZINHA - RS",1197139.23,1183539.23,-13600.00,-1.14
"INGAI - MG",554398.81,554398.81,-0.00,-0.00
"CARMOPOLIS DE MINAS - MG",1362406.56,1355435.86,-6970.70,-0.51
"CARMO - RJ",1902196.26,1902196.26,0.00,0.00
"LAGOA DA PRATA - MG",2968846.13,2955268.79,-13577.34,-0.46
"RODEIO BONITO - RS",714289.54,696431.27,-17858.27,-2.50
"NOVO HAMBURGO - RS",13664389.57,13664389.57,-0.00,-0.00
"JAU - SP",10352638.39,8246357.23,-2106281.16,-20.35
"MIGUEL CALMON - BA",2372222.27,2175340.04,-196882.23,-8.30
"MANTENA - MG",1901277.81,1882136.42,-19141.39,-1.01
"ARROIO GRANDE - RS",1172371.19,1168331.90,-4039.29,-0.34
"MULUNGU - PB",944371.58,944371.58,-0.00,-0.00
"MIRAI - MG",1057619.12,1051717.89,-5901.23,-0.56
"CAPAO DA CANOA - RS",2426306.64,2417608.91,-8697.73,-0.36
"RECIFE - PE",313077601.18,162751961.66,-150325639.52,-48.02
"RIO BRANCO - AC",50713143.39,28538443.54,-22174699.85,-43.73
"JABOTICABA - RS",666205.26,657305.48,-8899.78,-1.34
"CAMPINA DAS MISSOES - RS",709659.41,709659.41,-0.00,-0.00
"NOVO ARIPUANA - AM",1747558.86,1747558.86,0.00,0.00
"AREADO - MG",1055592.89,1054232.33,-1360.56,-0.13
"CAMBARA - PR",1660131.56,1655042.10,-5089.46,-0.31
"VITORIA - ES",77863927.10,19617345.10,-58246582.00,-74.81
"SAO PAULO - SP",908901680.78,310726274.51,-598175406.27,-65.81
"BARRA - BA",5232258.61,5179363.09,-52895.52,-1.01
"WENCESLAU BRAZ - PR",1442628.22,1431833.68,-10794.54,-0.75
"FREDERICO WESTPHALEN - RS",1677579.92,1667166.94,-10412.98,-0.62
"TEREZOPOLIS DE GOIAS - GO",798404.95,798404.95,0.00,0.00
"JACAREZINHO - PR",3150267.43,2377210.17,-773057.26,-24.54
"PILOES - RN",629031.85,629031.85,0.00,0.00
"CASTRO - PR",4022656.46,4022656.46,-0.00,-0.00
"OURO FINO - MG",1640340.58,1593893.38,-46447.20,-2.83
"ALEM PARAIBA - MG",2355966.40,2327450.32,-28516.08,-1.21
"GUARAPUAVA - PR",9662388.23,9402859.93,-259528.30,-2.69
"IRATI - PR",3126742.91,2991083.67,-135659.24,-4.34
"BERNARDO DO MEARIM - MA",923291.30,923291.30,-0.00,-0.00
"OLINDA - PE",15553536.56,14809786.56,-743750.00,-4.78
"CORUMBAIBA - GO",916029.94,916029.94,-0.00,-0.00
"SAO JOSE DOS CAMPOS - SP",20561632.20,19955736.66,-605895.54,-2.95
"SAO JOAO DO PARAISO - MG",1452190.43,1446436.56,-5753.87,-0.40
"CLAUDIO - MG",2059762.79,2051169.78,-8593.01,-0.42
"JEREMOABO - BA",3893575.93,3893575.93,0.00,0.00
"JI-PARANA - RO",6905137.33,6881757.33,-23380.00,-0.34
"LONDRINA - PR",34165108.81,31641923.24,-2523185.57,-7.39
"CAMPO FORMOSO - BA",5547553.10,5537215.77,-10337.33,-0.19
"ALTO ALEGRE - RS",506499.59,506499.59,-0.00,-0.00
"TAMBORIL - CE",2959765.80,2959765.80,-0.00,-0.00
"SEARA - SC",1409862.59,1409862.59,-0.00,-0.00
"JABOATAO DOS GUARARAPES - PE",26148083.24,25888444.33,-259638.91,-0.99
"RIO REAL - BA",3365197.47,3365197.47,-0.00,-0.00
"AMAJARI - RR",721456.49,721456.49,-0.00,-0.00
"DIAMANTINA - MG",3190976.64,2845845.99,-345130.65,-10.82
"VERA CRUZ - RS",2058494.14,2037501.85,-20992.29,-1.02
"CAMBE - PR",5121578.87,5080283.91,-41294.96,-0.81
"RIO POMBA - MG",1459333.74,1458079.59,-1254.15,-0.09
"PAULISTA - PE",12593406.26,12391375.30,-202030.96,-1.60
"MOSSORO - RN",19392702.17,19314709.20,-77992.97,-0.40
"SUZANO - SP",9185307.10,9155637.81,-29669.29,-0.32
"POTE - MG",1416338.65,1410081.68,-6256.97,-0.44
"BRAGANCA - PA",8645627.60,7718958.46,-926669.14,-10.72
"TOBIAS BARRETO - SE",4101958.74,4100698.76,-1259.98,-0.03
"GUARULHOS - SP",36322519.10,36160255.10,-162264.00,-0.45
"NOVA MAMORE - RO",1720569.58,1720569.58,0.00,0.00
"MONTENEGRO - RS",3211019.23,2828553.60,-382465.63,-11.91
"CAMPINA GRANDE - PB",32655019.93,28655019.93,-4000000.00,-12.25
"CAMPO MOURAO - PR",8231903.88,8231903.88,-0.00,-0.00
"LEOPOLDINA - MG",3557757.27,3400729.36,-157027.91,-4.41
"MUTUM - MG",1728361.20,1728361.20,-0.00,-0.00
"SANTA MARIA - RS",7596168.91,7564449.91,-31719.00,-0.42
"IBATE - SP",1835364.94,1835364.94,0.00,0.00
"IMACULADA - PB",1233751.87,1233751.87,0.00,0.00
"CALDAS - MG",1043350.66,1039160.71,-4189.95,-0.40
"ESTADO - ES",353407579.33,413259602.17,59852022.84,16.94
"ESTADO - DF",48812064.84,139464824.95,90652760.11,185.72
"ESTADO - CE",450581518.02,522923724.48,72342206.46,16.06
"ESTADO - BA",648684085.94,788498213.57,139814127.63,21.55
"ESTADO - AC",210081693.74,232256393.59,22174699.85,10.56
"ESTADO - AM",225254911.71,280710189.22,55455277.51,24.62
"ESTADO - AL",248988083.47,294073264.40,45085180.93,18.11
"ESTADO - AP",209612182.52,226262470.98,16650288.46,7.94
"CRISSIUMAL - RS",1169033.57,1164718.06,-4315.51,-0.37
"OSORIO - RS",3944604.80,3827826.10,-116778.70,-2.96
"LORENA - SP",4213210.02,4213210.02,0.00,0.00
"PECANHA - MG",1270945.75,1264610.00,-6335.75,-0.50
"CONTAGEM - MG",22232084.20,21152058.20,-1080026.00,-4.86
"VARGINHA - MG",5704615.20,5180208.29,-524406.91,-9.19
"CASCAVEL - PR",10203175.72,10002945.72,-200230.00,-1.96
"MIRINZAL - MA",1748011.51,1748011.51,-0.00,-0.00
"MANHUMIRIM - MG",1775667.16,1693551.98,-82115.18,-4.62
"AMAMBAI - MS",2810893.18,2810893.18,0.00,0.00
"CAMAQUA - RS",2924478.02,2888606.68,-35871.34,-1.23
"PASSA QUATRO - MG",1113130.20,1101236.43,-11893.77,-1.07
"DOURADOS - MS",179299098.47,179125098.47,-174000.00,-0.10
"BELO HORIZONTE - MG",306981942.72,180434869.56,-126547073.16,-41.22
"GUAPE - MG",1282174.63,1275424.85,-6749.78,-0.53
"ALVORADA - RS",7483934.14,7462009.36,-21924.78,-0.29
"BELTERRA - PA",1857580.73,1857580.73,0.00,0.00
"CACONDE - SP",1247082.19,1218948.68,-28133.51,-2.26
"MUZAMBINHO - MG",1285753.97,1280059.41,-5694.56,-0.44
"SANTA RITA DE MINAS - MG",646452.32,646452.32,0.00,0.00
"SAO LOURENCO DO SUL - RS",2390245.54,2384924.16,-5321.38,-0.22
"PALMAS - TO",59134782.24,31140880.14,-27993902.10,-47.34
"UBATUBA - SP",4192795.58,4192795.58,0.00,0.00
"CATALAO - GO",6231793.77,6231793.77,-0.00,-0.00
"ESTADO - TO",260029585.94,288069182.19,28039596.25,10.78
"RONDA ALTA - RS",844254.06,829639.66,-14614.40,-1.73
"ESTADO - SP",508441250.06,1114501566.34,606060316.28,119.20
"PAROBE - RS",2903261.72,2847907.02,-55354.70,-1.91
"BONITO - PA",1320020.17,1320020.17,0.00,0.00
"SAO MARTINHO - RS",582438.53,581359.96,-1078.57,-0.19
"ESTADO - RJ",1384940151.40,1460238302.25,75298150.85,5.44
"ESTADO - RO",182685921.72,210095267.90,27409346.18,15.00
"ESTADO - RN",260616556.76,341840301.87,81223745.11,31.17
"ESTADO - RS",227585328.32,312821696.36,85236368.04,37.45
"ESTADO - RR",149617347.64,167769511.02,18152163.38,12.13
"ESTADO - SE",247779783.98,273684672.25,25904888.27,10.45
"ESTADO - SC",123437644.72,182906465.96,59468821.24,48.18
"CAMPO LARGO - PR",8900269.91,5115400.07,-3784869.84,-42.53
"ESTADO - PE",433005095.16,584814833.27,151809738.11,35.06
"ESTADO - PI",270323294.20,296663573.88,26340279.68,9.74
"CAMPOS GERAIS - MG",1625065.25,1615140.38,-9924.87,-0.61
"ESTADO - PR",289414212.73,427110369.66,137696156.93,47.58
"ESTADO - PB",293416036.27,322883915.99,29467879.72,10.04
"ESTADO - PA",461136067.01,496810823.46,35674756.45,7.74
"PORTO ALEGRE - RS",163492625.96,85164162.42,-78328463.54,-47.91
