"Mun","./backup/201801.zip","novo/201801.zip","Diff","Percent"
"PALMEIRA DAS MISSOES - RS",2166482.79,2084480.31,-82002.48,-3.79
"TRES DE MAIO - RS",1688244.36,1674345.02,-13899.34,-0.82
"VIAMAO - RS",8201115.48,8150796.32,-50319.16,-0.61
"PORTO UNIAO - SC",1881674.34,1841251.39,-40422.95,-2.15
"NOVO CRUZEIRO - MG",2046091.18,2038907.59,-7183.59,-0.35
"CANGUCU - RS",2926955.55,2743238.01,-183717.54,-6.28
"TRES COROAS - RS",1765141.76,1732727.52,-32414.24,-1.84
"SANTA RITA DO SAPUCAI - MG",2293081.56,2261000.72,-32080.84,-1.40
"MAJOR ISIDORO - AL",2190174.58,2170814.58,-19360.00,-0.88
"PINHAIS - PR",5611146.84,5604629.57,-6517.27,-0.12
"SAO JOSE DO RIO PRETO - SP",16015749.15,15481407.22,-534341.93,-3.34
"BOM SUCESSO - MG",1480323.21,1467836.82,-12486.39,-0.84
"BELEM - PA",92678175.43,64069183.37,-28608992.06,-30.87
"LAJINHA - MG",1513551.73,1506964.37,-6587.36,-0.44
"VARZEA GRANDE - MT",10408567.95,10386159.95,-22408.00,-0.22
"REGISTRO - SP",3235667.21,3176548.31,-59118.90,-1.83
"PEDRA AZUL - MG",2059499.16,2050099.45,-9399.71,-0.46
"BAEPENDI - MG",1522115.68,1493049.15,-29066.53,-1.91
"MOIPORA - GO",596289.25,578689.25,-17600.00,-2.95
"CUIABA - MT",55309882.01,37530625.98,-17779256.03,-32.14
"SAO JOSE DO OURO - RS",634977.72,614064.78,-20912.94,-3.29
"PORTO LUCENA - RS",604468.03,602851.54,-1616.49,-0.27
"FORTALEZA - CE",193525770.43,164262199.55,-29263570.88,-15.12
"BRASILIA - DF",440361128.33,20402333.92,-419958794.41,-95.37
"PARAISOPOLIS - MG",1415770.19,1411911.83,-3858.36,-0.27
"UBA - MG",4988057.78,4353911.81,-634145.97,-12.71
"MARACAI - SP",1170745.14,1167945.14,-2800.00,-0.24
"TUPA - SP",3073069.99,2962529.95,-110540.04,-3.60
"IVOTI - RS",1397014.68,1390378.48,-6636.20,-0.48
"SARANDI - PR",4408492.55,4188042.00,-220450.55,-5.00
"BRAGANCA PAULISTA - SP",7394098.24,7319098.24,-75000.00,-1.01
"CAMPOS DOS GOYTACAZES - RJ",51914456.31,51720926.31,-193530.00,-0.37
"BAMBUI - MG",1718486.31,1697806.26,-20680.05,-1.20
"PASSO FUNDO - RS",7567618.82,6922676.99,-644941.83,-8.52
"GARCA - SP",3058162.59,3016663.76,-41498.83,-1.36
"JOAO PESSOA - PB",73501216.25,67472908.37,-6028307.88,-8.20
"SANTO CRISTO - RS",1134914.02,1118184.44,-16729.58,-1.47
"FERNANDOPOLIS - SP",3758289.06,3365917.76,-392371.30,-10.44
"CAMBUI - MG",1823064.57,1814734.18,-8330.39,-0.46
"AIURUOCA - MG",705345.27,689026.00,-16319.27,-2.31
"CRUZ ALTA - RS",4122622.12,3581962.65,-540659.47,-13.11
"CARIACICA - ES",9833200.60,9660091.72,-173108.88,-1.76
"SAO LUIS - MA",102962721.25,74105116.00,-28857605.25,-28.03
"SANTA BARBARA DO SUL - RS",720664.92,714290.76,-6374.16,-0.88
"IRAI - RS",647885.31,644649.59,-3235.72,-0.50
"CACHOEIRO DE ITAPEMIRIM - ES",9214078.87,8090790.07,-1123288.80,-12.19
"NAO-ME-TOQUE - RS",1324853.32,1323074.87,-1778.45,-0.13
"ALEGRETE - RS",4641603.82,4433432.26,-208171.56,-4.48
"SOROCABA - SP",17694991.63,17421469.64,-273521.99,-1.55
"FEIRA DE SANTANA - BA",24379159.98,24223517.48,-155642.50,-0.64
"INDIARA - GO",1414519.79,1370519.79,-44000.00,-3.11
"IJUI - RS",5146976.84,3866967.09,-1280009.75,-24.87
"CACERES - MT",4223130.74,4218112.50,-5018.24,-0.12
