"Mun";"entrada/marco/202009.zip";"entrada/abril/202009.zip";"Diff";"Percent"
"PALMEIRA DAS MISSOES - RS";3949242,35;3910805,11;-38437,24;-0,97
"ALTO ARAGUAIA - MT";2760446,85;2748094,85;-12352,00;-0,45
"TRES DE MAIO - RS";2739202,81;2720419,32;-18783,49;-0,69
"VIAMAO - RS";16480534,76;16175277,54;-305257,22;-1,85
"PATO BRAGADO - PR";3068682,00;3055554,00;-13128,00;-0,43
"TRES COROAS - RS";2939927,75;2912538,33;-27389,42;-0,93
"BETIM - MG";44187922,62;44163510,62;-24412,00;-0,06
"PLANALTO - RS";1275745,09;1267305,90;-8439,19;-0,66
"PORTO XAVIER - RS";1356193,73;1351328,45;-4865,28;-0,36
"SANTA RITA DO SAPUCAI - MG";3866350,75;3851339,82;-15010,93;-0,39
"GAROPABA - SC";2521842,71;2498310,71;-23532,00;-0,93
"PRAIA GRANDE - SP";25784504,16;25746164,16;-38340,00;-0,15
"ANTONIO PRADO DE MINAS - MG";682248,67;674857,67;-7391,00;-1,08
"BOM SUCESSO - MG";2001454,76;1990515,69;-10939,07;-0,55
"BELEM - PA";228966656,63;112852779,60;-116113877,03;-50,71
"VARZEA GRANDE - MT";31126297,75;31061169,75;-65128,00;-0,21
"REGISTRO - SP";5368804,27;5283921,55;-84882,72;-1,58
"CUIABA - MT";173826929,96;96473498,42;-77353431,54;-44,50
"MARCELANDIA - MT";1928345,84;1920224,84;-8121,00;-0,42
"GURUPI - TO";11335142,00;11322091,00;-13051,00;-0,12
"PORTO LUCENA - RS";736523,24;734568,60;-1954,64;-0,27
"FORTALEZA - CE";457268335,10;259729365,15;-197538969,95;-43,20
"BARRAS - PI";6082170,62;6042872,22;-39298,40;-0,65
"BRASILIA - DF";226039279,16;96565030,47;-129474248,69;-57,28
"SAO GABRIEL - RS";5956882,23;5878990,47;-77891,76;-1,31
"SAPE - PB";5702238,63;5699178,63;-3060,00;-0,05
"DOM BASILIO - BA";1939361,31;1927361,31;-12000,00;-0,62
"SARANDI - RS";2407681,34;2397043,70;-10637,64;-0,44
"SANTA CRUZ DO SUL - RS";16219678,01;16195378,01;-24300,00;-0,15
"FAZENDA RIO GRANDE - PR";8255556,15;8245616,15;-9940,00;-0,12
"FIGUEIRA - PR";1171580,66;1150992,66;-20588,00;-1,76
"PARAISOPOLIS - MG";2236418,31;2230606,91;-5811,40;-0,26
"UBA - MG";9000126,88;8616273,49;-383853,39;-4,26
"POSSE - GO";3774678,17;3725790,17;-48888,00;-1,30
"SANTO ANTONIO DO AMPARO - MG";2428076,78;2405228,78;-22848,00;-0,94
"TRES CACHOEIRAS - RS";1412533,46;1385017,46;-27516,00;-1,95
"SANTO ANTONIO - RN";3043450,28;2983090,28;-60360,00;-1,98
