"Mun","entrada/marco/201503.zip","entrada/abril/201503.zip","Diff","Percent"
"MONTE AZUL - MG",1520008.31,1516235.54,-3772.77,-0.25
"PALMEIRA DAS MISSOES - RS",1589271.66,1573354.05,-15917.61,-1.00
"TRES DE MAIO - RS",1336984.66,1310230.14,-26754.52,-2.00
"NOVO CRUZEIRO - MG",1617160.10,1608106.81,-9053.29,-0.56
"CANGUCU - RS",2282040.41,2253574.16,-28466.25,-1.25
"TRES COROAS - RS",1590644.24,1567670.46,-22973.78,-1.44
"BETIM - MG",17884061.34,17809733.80,-74327.54,-0.42
"CUBATAO - SP",8063526.33,8036926.33,-26600.00,-0.33
"SANTA RITA DO SAPUCAI - MG",1800846.93,1773367.76,-27479.17,-1.53
"SANANDUVA - RS",872773.34,865747.83,-7025.51,-0.80
"PRAIA GRANDE - SP",10568108.51,10517758.51,-50350.00,-0.48
"TERESOPOLIS - RJ",8793820.36,8543820.36,-250000.00,-2.84
"POCO FUNDO - MG",931056.53,905972.40,-25084.13,-2.69
"LIMEIRA - SP",11392664.26,11352540.20,-40124.06,-0.35
"PONTE NOVA - MG",5654627.67,5560320.46,-94307.21,-1.67
"SAO JOSE DO RIO PRETO - SP",13142711.84,13128054.11,-14657.73,-0.11
"PEDRA DO ANTA - MG",546403.82,525603.82,-20800.00,-3.81
"CRICIUMA - SC",13317167.85,13290917.85,-26250.00,-0.20
"BELEM - PA",94570789.64,76205765.74,-18365023.90,-19.42
"VARZEA GRANDE - MT",8375725.00,8353317.00,-22408.00,-0.27
"REGISTRO - SP",2532150.45,2473031.55,-59118.90,-2.33
"AMPARO - SP",4094322.99,4023522.99,-70800.00,-1.73
"CUIABA - MT",60269286.96,33529827.82,-26739459.14,-44.37
"SAO JOSE DO OURO - RS",485692.33,470726.20,-14966.13,-3.08
"MALACACHETA - MG",1151922.16,1141522.16,-10400.00,-0.90
"GURUPI - TO",4164911.43,4150406.96,-14504.47,-0.35
"CORONEL FABRICIANO - MG",3544448.51,3539022.79,-5425.72,-0.15
