"Mun","entrada/marco/201610.zip","entrada/abril/201610.zip","Diff","Percent"
"SAO JOSE DO CALCADO - ES",973692.93,963792.93,-9900.00,-1.02
"PALMEIRA DAS MISSOES - RS",2568346.60,2470426.51,-97920.09,-3.81
"SAO DOMINGOS DO AZEITAO - MA",1021020.39,1017450.39,-3570.00,-0.35
"TRES DE MAIO - RS",1499446.12,1458792.26,-40653.86,-2.71
"VIAMAO - RS",7621895.89,7571576.73,-50319.16,-0.66
"SOBRAL - CE",24294211.66,24279871.66,-14340.00,-0.06
"MORRO DO CHAPEU DO PIAUI - PI",813016.90,809736.90,-3280.00,-0.40
"VESPASIANO - MG",5531553.99,5511033.99,-20520.00,-0.37
"NOVO CRUZEIRO - MG",1915547.61,1899310.73,-16236.88,-0.85
"SAO MIGUEL ARCANJO - SP",2153368.97,2150508.97,-2860.00,-0.13
"CANGUCU - RS",2927117.75,2743400.21,-183717.54,-6.28
"TRES COROAS - RS",1477869.65,1441292.53,-36577.12,-2.47
"BETIM - MG",19652177.41,19539867.41,-112310.00,-0.57
"MARMELEIRO - PR",1254509.14,1246349.14,-8160.00,-0.65
"SANTA RITA DO SAPUCAI - MG",1988644.17,1961165.00,-27479.17,-1.38
"SAO MATEUS - ES",6296978.32,6279748.32,-17230.00,-0.27
"PINHAIS - PR",4508927.44,4456577.44,-52350.00,-1.16
"FERRAZ DE VASCONCELOS - SP",5494951.03,5473721.03,-21230.00,-0.39
"BOM SUCESSO - PR",837922.95,831222.95,-6700.00,-0.80
"SAO JOSE DO RIO PRETO - SP",15437069.28,14902727.35,-534341.93,-3.46
"BOM SUCESSO - MG",1370340.66,1357854.27,-12486.39,-0.91
"PORANGA - CE",1334559.05,1338549.05,3990.00,0.30
"CORRENTE - PI",2453790.50,2448500.50,-5290.00,-0.22
"BELEM - PA",94923128.14,62593806.58,-32329321.56,-34.06
"LAJINHA - MG",1427411.68,1420824.32,-6587.36,-0.46
"VARZEA GRANDE - MT",9407506.56,9385098.56,-22408.00,-0.24
"REGISTRO - SP",3078376.11,3019257.21,-59118.90,-1.92
"PEDRA AZUL - MG",1935063.15,1925663.44,-9399.71,-0.49
"BAEPENDI - MG",1304533.54,1275467.01,-29066.53,-2.23
"CUIABA - MT",64149623.81,38186051.30,-25963572.51,-40.47
"SAO JOSE DO OURO - RS",642193.70,618109.05,-24084.65,-3.75
"GENERAL CARNEIRO - MT",981142.00,982682.00,1540.00,0.16
"POCRANE - MG",601484.75,599254.75,-2230.00,-0.37
"CHACARA - MG",543109.68,541399.68,-1710.00,-0.31
"NOVO BRASIL - GO",626311.83,623251.83,-3060.00,-0.49
"ITACARAMBI - MG",1634679.17,1622099.17,-12580.00,-0.77
"PORTO LUCENA - RS",484930.79,489403.47,4472.68,0.92
"FORTALEZA - CE",246289168.58,160656729.28,-85632439.30,-34.77
"GUAXUPE - MG",2320954.04,2316304.04,-4650.00,-0.20
"IRAUCUBA - CE",2765212.09,2761902.09,-3310.00,-0.12
"BRASILIA - DF",166956073.33,103821772.78,-63134300.55,-37.81
"CONDOR - RS",1117241.67,1116028.66,-1213.01,-0.11
"ITAPEVA - MG",872831.09,866621.09,-6210.00,-0.71
"SARANDI - RS",1228415.48,1223655.04,-4760.44,-0.39
"FAZENDA RIO GRANDE - PR",4616752.47,4562272.47,-54480.00,-1.18
"DIVINO DE SAO LOURENCO - ES",653012.33,647062.33,-5950.00,-0.91
"SAO SEBASTIAO DO CAI - RS",1853212.30,1844697.22,-8515.08,-0.46
"SAO JOAO DA LAGOA - MG",592232.24,586292.24,-5940.00,-1.00
"PADRE CARVALHO - MG",586680.89,581050.89,-5630.00,-0.96
"PARAISOPOLIS - MG",1151666.52,1143819.27,-7847.25,-0.68
"UBA - MG",4395811.44,3836111.79,-559699.65,-12.73
"SANTO ANTONIO - RN",2275489.23,2268139.23,-7350.00,-0.32
"RIO DO PRADO - MG",603736.17,601036.17,-2700.00,-0.45
"PIRAQUARA - PR",4437395.70,4414705.70,-22690.00,-0.51
"VICOSA DO CEARA - CE",4953725.21,4944845.21,-8880.00,-0.18
"TUPA - SP",2962794.96,2852205.61,-110589.35,-3.73
"MACAIBA - RN",4974188.15,4967498.15,-6690.00,-0.13
"MARTINS SOARES - MG",686897.72,678447.72,-8450.00,-1.23
"COTRIGUACU - MT",1147328.98,1143128.98,-4200.00,-0.37
"IVOTI - RS",1185023.81,1171984.09,-13039.72,-1.10
"SARANDI - PR",4772160.32,4528299.90,-243860.42,-5.11
"PIRES DO RIO - GO",2145250.80,2140740.80,-4510.00,-0.21
"INHAPIM - MG",1941159.56,1912804.09,-28355.47,-1.46
"ARIQUEMES - RO",5445557.21,5436587.21,-8970.00,-0.16
"BRAGANCA PAULISTA - SP",7428540.45,7138071.56,-290468.89,-3.91
"CAMPOS DOS GOYTACAZES - RJ",45800080.00,45566413.94,-233666.06,-0.51
"PATOS DO PIAUI - PI",671220.72,669320.72,-1900.00,-0.28
"GUARUJA - SP",12473849.19,12456259.19,-17590.00,-0.14
"TAPEJARA - PR",1393810.89,1386650.89,-7160.00,-0.51
"BAMBUI - MG",1835868.27,1804858.22,-31010.05,-1.69
"PASSO FUNDO - RS",7484156.88,6998126.66,-486030.22,-6.49
"BARAO DE GRAJAU - MA",1809705.19,1803715.19,-5990.00,-0.33
"GARCA - SP",3007137.27,2965638.44,-41498.83,-1.38
"VERA CRUZ DO OESTE - PR",772306.08,784306.08,12000.00,1.55
"JOAO PESSOA - PB",95111560.78,67318870.54,-27792690.24,-29.22
"SANTO CRISTO - RS",958278.06,934661.78,-23616.28,-2.46
"FERNANDOPOLIS - SP",3552287.03,3281800.06,-270486.97,-7.61
"QUIXADA - CE",6753690.69,6749210.69,-4480.00,-0.07
"FORMIGA - MG",3427827.91,3261281.41,-166546.50,-4.86
"CARPINA - PE",4232421.27,4126270.11,-106151.16,-2.51
"AIURUOCA - MG",603691.80,587372.53,-16319.27,-2.70
"CRUZ ALTA - RS",4277702.79,3812576.63,-465126.16,-10.87
"AREIA BRANCA - RN",2888991.74,2883641.74,-5350.00,-0.19
"CARIACICA - ES",8709276.27,8515357.39,-193918.88,-2.23
"QUIRINOPOLIS - GO",4798604.56,4794444.56,-4160.00,-0.09
"NOVA VENECIA - ES",3262109.03,3240859.03,-21250.00,-0.65
"JAPONVAR - MG",749987.43,747277.43,-2710.00,-0.36
"SANTIAGO - RS",3260657.88,3259397.88,-1260.00,-0.04
"VOLTA GRANDE - MG",563272.32,560202.32,-3070.00,-0.55
"SAO GONCALO DO AMARANTE - RN",6115064.79,6085344.79,-29720.00,-0.49
"MACAU - RN",2969693.29,2964553.29,-5140.00,-0.17
"SAO LUIS - MA",113166084.07,73893576.08,-39272507.99,-34.70
"BARRA DO JACARE - PR",528724.77,525884.77,-2840.00,-0.54
"ESPIGAO D'OESTE - RO",1641327.70,1634127.70,-7200.00,-0.44
"CAMPO MAGRO - PR",1628618.60,1617218.60,-11400.00,-0.70
"BITURUNA - PR",1858270.39,1856330.39,-1940.00,-0.10
"ESMERALDAS - MG",3043787.80,3014987.80,-28800.00,-0.95
"SANTA BARBARA DO SUL - RS",1380381.91,1374007.75,-6374.16,-0.46
"PIRAI DO SUL - PR",1868676.47,1846936.47,-21740.00,-1.16
"GUAJARA-MIRIM - RO",2243833.76,2240773.76,-3060.00,-0.14
"AGUA BOA - MG",1057900.93,1053890.93,-4010.00,-0.38
"IRAI - RS",699541.02,696305.30,-3235.72,-0.46
"CACHOEIRO DE ITAPEMIRIM - ES",7870846.10,7133793.40,-737052.70,-9.36
"PARIPUEIRA - AL",1842088.50,1832078.50,-10010.00,-0.54
"PARAZINHO - RN",743900.12,737900.12,-6000.00,-0.81
"BOCAIUVA - MG",2807238.87,2802918.87,-4320.00,-0.15
"POJUCA - BA",3157360.13,3137441.59,-19918.54,-0.63
"NAO-ME-TOQUE - RS",1374610.14,1371554.91,-3055.23,-0.22
"CLEVELANDIA - PR",1417512.94,1411763.95,-5748.99,-0.41
"TAQUARACU DE MINAS - MG",619365.74,616905.74,-2460.00,-0.40
"ALEGRETE - RS",5461071.28,5254642.43,-206428.85,-3.78
"SAO JOSE DO DIVINO - MG",615338.58,608438.58,-6900.00,-1.12
"JESUITAS - PR",620847.21,619207.21,-1640.00,-0.26
"SAO FRANCISCO - MG",3148944.95,3136084.95,-12860.00,-0.41
"SOROCABA - SP",18913541.96,18620935.18,-292606.78,-1.55
"NINA RODRIGUES - MA",1470805.25,1467915.25,-2890.00,-0.20
"FEIRA DE SANTANA - BA",30542508.89,29886866.39,-655642.50,-2.15
"BONITO DE MINAS - MG",2082380.84,2078460.84,-3920.00,-0.19
"ITAPERUCU - PR",1703238.46,1697228.46,-6010.00,-0.35
"RIO NOVO DO SUL - ES",939181.48,936511.48,-2670.00,-0.28
"VIRGEM DA LAPA - MG",4051479.01,4044469.01,-7010.00,-0.17
"JOAQUIM GOMES - AL",2394799.58,2381599.58,-13200.00,-0.55
"BELA CRUZ - CE",2686795.37,2678565.37,-8230.00,-0.31
"BENEVIDES - PA",3756789.63,3754319.63,-2470.00,-0.07
"RAUL SOARES - MG",1688890.43,1680600.43,-8290.00,-0.49
"BREJETUBA - ES",1122489.72,1118919.72,-3570.00,-0.32
"CORDISBURGO - MG",592572.78,586912.78,-5660.00,-0.96
"BARBACENA - MG",9225899.28,9212739.28,-13160.00,-0.14
"SAO GONCALO DO AMARANTE - CE",4721371.57,4717381.57,-3990.00,-0.08
"IJUI - RS",4490618.33,3482825.63,-1007792.70,-22.44
"CEARA-MIRIM - RN",4822206.17,4814996.17,-7210.00,-0.15
"CACOAL - RO",3650589.88,3637019.88,-13570.00,-0.37
"CACERES - MT",5254346.76,4744316.76,-510030.00,-9.71
"GROSSOS - RN",1775569.21,1766449.21,-9120.00,-0.51
"ROSARIO - MA",4178242.07,4173262.07,-4980.00,-0.12
"ITAINOPOLIS - PI",1470789.60,1468049.60,-2740.00,-0.19
"CARUARU - PE",15968232.98,15948001.03,-20231.95,-0.13
"MONTES CLAROS - MG",20203890.94,11236998.32,-8966892.62,-44.38
"OURO BRANCO - AL",1214100.68,1206690.68,-7410.00,-0.61
"JOSE DA PENHA - RN",671071.40,669501.40,-1570.00,-0.23
"LIMA DUARTE - MG",1237528.78,1232668.78,-4860.00,-0.39
"JURUAIA - MG",757531.26,747661.26,-9870.00,-1.30
"ARACUAI - MG",2420807.60,2395667.60,-25140.00,-1.04
"ILHEUS - BA",14685563.11,12263049.17,-2422513.94,-16.50
"ANDRADAS - MG",1917932.67,1878479.61,-39453.06,-2.06
"BOA VISTA - RR",58395901.16,41236933.47,-17158967.69,-29.38
"PIEN - PR",1137081.31,1127441.31,-9640.00,-0.85
"CAPITAO ENEAS - MG",1165745.53,1163425.53,-2320.00,-0.20
"TUMIRITINGA - MG",659831.60,650861.60,-8970.00,-1.36
"UNIAO DOS PALMARES - AL",5460628.27,5447428.27,-13200.00,-0.24
"CAMPANHA - MG",1101504.11,1084949.50,-16554.61,-1.50
