"Mun","./backup/201511.zip","novo/201511.zip","Diff","Percent"
"TERRA NOVA - BA",1210477.00,1198977.00,-11500.00,-0.95
"TARTARUGALZINHO - AP",2018428.42,1998208.42,-20220.00,-1.00
"ITANHEM - BA",1964929.50,1942229.50,-22700.00,-1.16
"MAETINGA - BA",943044.47,936484.47,-6560.00,-0.70
"SERRA DA RAIZ - PB",667059.36,663679.36,-3380.00,-0.51
"JARDIM DE PIRANHAS - RN",1373691.48,1360731.48,-12960.00,-0.94
"UMBUZEIRO - PB",1304082.76,1293342.76,-10740.00,-0.82
"IBIAPINA - CE",2363075.42,2356015.42,-7060.00,-0.30
"MALHADA - BA",2006203.90,1988223.90,-17980.00,-0.90
"PALMEIRA DAS MISSOES - RS",2022707.79,1960817.00,-61890.79,-3.06
"BANABUIU - CE",1929514.25,1911814.25,-17700.00,-0.92
"NOSSA SENHORA DA GLORIA - SE",2807581.59,2748201.59,-59380.00,-2.11
"HELIOPOLIS - BA",1461724.24,1447964.24,-13760.00,-0.94
"TRES DE MAIO - RS",1395959.75,1369205.23,-26754.52,-1.92
"AMERICA DOURADA - BA",2063199.75,2046959.75,-16240.00,-0.79
"SAO PEDRO DOS CRENTES - MA",691281.18,686521.18,-4760.00,-0.69
"SALITRE - CE",2114493.78,2100853.78,-13640.00,-0.65
"PENTECOSTE - CE",4036642.84,3993962.84,-42680.00,-1.06
"SOBRAL - CE",24582052.67,24329752.67,-252300.00,-1.03
"ACARAU - CE",4872809.30,4790029.30,-82780.00,-1.70
"CAPINZAL DO NORTE - MA",1490652.81,1484452.81,-6200.00,-0.42
"DONA INES - PB",1693414.26,1679614.26,-13800.00,-0.81
"VESPASIANO - MG",5358586.24,5358586.24,0.00,0.00
"TURURU - CE",1920794.95,1902534.95,-18260.00,-0.95
"ANDORINHA - BA",1602311.43,1583451.43,-18860.00,-1.18
"CHOROZINHO - CE",2247646.17,2230786.17,-16860.00,-0.75
"LAGOA DE DENTRO - PB",1196378.43,1189598.43,-6780.00,-0.57
"NOVO CRUZEIRO - MG",1862365.18,1846128.30,-16236.88,-0.87
"SAO MIGUEL ARCANJO - SP",1962949.26,1962949.26,0.00,0.00
"LARANJEIRAS - SE",2723093.28,2705673.28,-17420.00,-0.64
"CANGUCU - RS",2899546.96,2715829.42,-183717.54,-6.34
