"Mun","entrada/marco/201501.zip","entrada/abril/201501.zip","Diff","Percent"
"MONTE AZUL - MG",1958398.66,1954625.89,-3772.77,-0.19
"PALMEIRA DAS MISSOES - RS",2339616.86,2323699.25,-15917.61,-0.68
"TRES DE MAIO - RS",1791461.22,1764706.70,-26754.52,-1.49
"VIAMAO - RS",7766104.85,8090804.85,324700.00,4.18
"NOVO CRUZEIRO - MG",2388732.53,2379679.24,-9053.29,-0.38
"CANGUCU - RS",3752905.95,3724439.70,-28466.25,-0.76
"TRES COROAS - RS",1904024.64,1881050.86,-22973.78,-1.21
"SANTA RITA DO SAPUCAI - MG",5423643.08,5396163.91,-27479.17,-0.51
"SANANDUVA - RS",1497430.09,1490404.58,-7025.51,-0.47
"POCO FUNDO - MG",1473886.41,1465502.28,-8384.13,-0.57
"BELEM - PA",126322249.65,95523999.02,-30798250.63,-24.38
"VARZEA GRANDE - MT",12525819.33,12503411.33,-22408.00,-0.18
"REGISTRO - SP",3671916.90,3626614.98,-45301.92,-1.23
"CUIABA - MT",76855292.23,44074706.37,-32780585.86,-42.65
"SAO JOSE DO OURO - RS",1117953.91,1102987.78,-14966.13,-1.34
"GURUPI - TO",5832616.17,5818111.70,-14504.47,-0.25
"CORONEL FABRICIANO - MG",4793870.55,4788444.82,-5425.73,-0.11
"PORTO LUCENA - RS",647364.67,645453.84,-1910.83,-0.30
"FORTALEZA - CE",262140732.05,191366776.91,-70773955.14,-27.00
"BRASILIA - DF",53416169.98,-6716260.61,-60132430.59,-112.57
"CONDOR - RS",951718.66,950505.65,-1213.01,-0.13
"MARILIA - SP",13035494.34,12865475.93,-170018.41,-1.30
"SARANDI - RS",1830159.41,1825398.97,-4760.44,-0.26
"SAO SEBASTIAO DO CAI - RS",2005609.35,1997094.27,-8515.08,-0.42
"PARAISOPOLIS - MG",1526196.73,1522207.84,-3988.89,-0.26
"UBA - MG",5213893.59,5010652.04,-203241.55,-3.90
"TIMOTEO - MG",4246912.77,4211990.59,-34922.18,-0.82
"TUPA - SP",4053018.52,3854135.51,-198883.01,-4.91
"IVOTI - RS",1519189.44,1512785.92,-6403.52,-0.42
"SARANDI - PR",5935604.09,5901454.42,-34149.67,-0.58
"INHAPIM - MG",2589522.61,2571487.75,-18034.86,-0.70
"BRAGANCA PAULISTA - SP",8348552.37,8273552.37,-75000.00,-0.90
"BAMBUI - MG",2208020.28,2187340.23,-20680.05,-0.94
"PASSO FUNDO - RS",8234017.44,7880524.10,-353493.34,-4.29
"PRESIDENTE FIGUEIREDO - AM",3480768.25,3473868.25,-6900.00,-0.20
"GARCA - SP",3679627.58,3665938.87,-13688.71,-0.37
"JOAO PESSOA - PB",119747336.05,87794579.59,-31952756.46,-26.68
"SANTO CRISTO - RS",1197104.62,1190217.92,-6886.70,-0.58
"FERNANDOPOLIS - SP",4161267.05,3905906.96,-255360.09,-6.14
"CAMBUI - MG",1907431.70,1899835.34,-7596.36,-0.40
"FORMIGA - MG",4165659.94,3999113.44,-166546.50,-4.00
"CARPINA - PE",5124886.49,5018735.33,-106151.16,-2.07
"AIURUOCA - MG",715117.93,698798.66,-16319.27,-2.28
"CRUZ ALTA - RS",4500092.76,4199236.08,-300856.68,-6.69
"CAMPO ALEGRE DE LOURDES - BA",3313714.23,3294982.23,-18732.00,-0.57
"CARIACICA - ES",10140639.21,10057803.59,-82835.62,-0.82
"SANTIAGO - RS",3065402.03,3043456.12,-21945.91,-0.72
"SAO LUIS - MA",129037983.13,85284962.95,-43753020.18,-33.91
"SANTA BARBARA DO SUL - RS",885241.77,875579.39,-9662.38,-1.09
"BOM DESPACHO - MG",2856212.44,2812964.43,-43248.01,-1.51
"IRAI - RS",821257.15,816162.40,-5094.75,-0.62
"CACHOEIRO DE ITAPEMIRIM - ES",9769190.77,9415624.91,-353565.86,-3.62
"NAO-ME-TOQUE - RS",1361918.47,1360186.34,-1732.13,-0.13
"CLEVELANDIA - PR",1710424.53,1704675.54,-5748.99,-0.34
"ALEGRETE - RS",5070333.37,4899281.25,-171052.12,-3.37
"SOROCABA - SP",22640035.52,22344575.69,-295459.83,-1.31
"VITORIA DO JARI - AP",1840884.01,1834384.01,-6500.00,-0.35
"PUTINGA - RS",885378.43,881410.06,-3968.37,-0.45
