"Mun","./backup/201709.zip","novo/201709.zip","Diff","Percent"
"CONTENDA - PR",1393713.78,1390845.78,-2868.00,-0.21
"MONTE AZUL - MG",1373151.41,1353561.41,-19590.00,-1.43
"SAO JOSE DO CALCADO - ES",871107.91,870003.91,-1104.00,-0.13
"SANTO ANASTACIO - SP",1274335.37,1263439.37,-10896.00,-0.86
"MONTE ALEGRE DO SUL - SP",658300.61,653390.61,-4910.00,-0.75
"TAIUVA - SP",551283.11,549627.11,-1656.00,-0.30
"IMIGRANTE - RS",790645.72,788695.72,-1950.00,-0.25
"PALMEIRA DAS MISSOES - RS",2131841.70,1834081.22,-297760.48,-13.97
"TRES DE MAIO - RS",1776723.74,1759077.40,-17646.34,-0.99
"CARIRI DO TOCANTINS - TO",522611.88,520413.88,-2198.00,-0.42
"VIAMAO - RS",7559252.01,7566568.57,7316.56,0.10
"PORTO UNIAO - SC",1824359.48,1806275.48,-18084.00,-0.99
"SAO PEDRO DO IVAI - PR",783646.60,780778.60,-2868.00,-0.37
"VESPASIANO - MG",5189784.80,5180352.80,-9432.00,-0.18
"ITAPEMIRIM - ES",7201521.62,7198739.62,-2782.00,-0.04
"SANTANA DE PARNAIBA - SP",4994142.18,4990842.18,-3300.00,-0.07
"COXILHA - RS",513959.58,512210.58,-1749.00,-0.34
"LAGOA DE DENTRO - PB",1062073.21,1050733.21,-11340.00,-1.07
"NOVO CRUZEIRO - MG",1728714.45,1665860.86,-62853.59,-3.64
"OUREM - PA",1849027.36,1844367.36,-4660.00,-0.25
"CARMO DO PARANAIBA - MG",2000847.39,1991187.39,-9660.00,-0.48
"SAO MIGUEL ARCANJO - SP",1768824.29,1706932.29,-61892.00,-3.50
"GUARINOS - GO",492392.03,484754.03,-7638.00,-1.55
"SALTO GRANDE - SP",832494.67,819214.67,-13280.00,-1.60
"LARANJEIRAS - SE",2105649.69,2099289.69,-6360.00,-0.30
"CANGUCU - RS",2887983.76,2655885.22,-232098.54,-8.04
"TRES COROAS - RS",1304350.26,1271936.02,-32414.24,-2.49
"URUPES - SP",828245.11,823915.11,-4330.00,-0.52
"BETIM - MG",18127885.48,18106078.48,-21807.00,-0.12
"CUBATAO - SP",9667467.40,9527031.40,-140436.00,-1.45
"JURUA - AM",1812214.08,1807968.08,-4246.00,-0.23
"PLANALTO - RS",778984.47,764986.47,-13998.00,-1.80
"VISTA GAUCHA - RS",564192.41,561422.41,-2770.00,-0.49
"MARMELEIRO - PR",1291304.48,1288436.48,-2868.00,-0.22
"SANTA RITA DO SAPUCAI - MG",2284550.13,2243997.29,-40552.84,-1.78
"GAROPABA - SC",1896425.76,1893665.76,-2760.00,-0.15
"GUARANI DAS MISSOES - RS",584338.37,575866.37,-8472.00,-1.45
"PEDREGULHO - SP",933228.89,911602.89,-21626.00,-2.32
"PRAIA GRANDE - SP",15295605.59,15031825.59,-263780.00,-1.72
"SAO MATEUS - ES",6072153.86,6058585.86,-13568.00,-0.22
"PLANALTO - SP",521731.70,515411.70,-6320.00,-1.21
"BORBA - AM",3492409.62,3428527.62,-63882.00,-1.83
"TRIUNFO - PB",765548.81,763544.81,-2004.00,-0.26
"MAGDA - SP",452217.33,449227.33,-2990.00,-0.66
"PINHAIS - PR",4559718.73,4556850.73,-2868.00,-0.06
"SANTA MARIA DA SERRA - SP",484907.51,477757.51,-7150.00,-1.47
"FERRAZ DE VASCONCELOS - SP",5176630.27,5071379.27,-105251.00,-2.03
"CACHOEIRA DE PAJEU - MG",722620.01,715534.01,-7086.00,-0.98
"BARRA DO QUARAI - RS",490667.47,478105.47,-12562.00,-2.56
"BERIZAL - MG",518248.60,506305.60,-11943.00,-2.30
"ILHA SOLTEIRA - SP",1683135.96,1644291.96,-38844.00,-2.31
"SAO BENTO ABADE - MG",499515.84,492891.84,-6624.00,-1.33
"LIZARDA - TO",584784.63,560592.63,-24192.00,-4.14
"ITAMBACURI - MG",2023365.81,2008797.81,-14568.00,-0.72
"LIMEIRA - SP",14647672.06,14445852.06,-201820.00,-1.38
"PONTE NOVA - MG",5805671.59,5768555.59,-37116.00,-0.64
"AXIXA DO TOCANTINS - TO",1158827.00,1143031.00,-15796.00,-1.36
"BELEM DO BREJO DO CRUZ - PB",1027347.63,1019703.63,-7644.00,-0.74
"SAO JOSE DO RIO PRETO - SP",16276761.07,15709479.14,-567281.93,-3.49
"BRAUNAS - MG",535317.42,519429.42,-15888.00,-2.97
"IGARACU DO TIETE - SP",1270297.79,1259537.79,-10760.00,-0.85
"PEDRA DO ANTA - MG",566287.24,561571.24,-4716.00,-0.83
"BOM SUCESSO - PB",776599.77,767107.77,-9492.00,-1.22
"ARENOPOLIS - GO",565739.13,556187.13,-9552.00,-1.69
"NAZARE PAULISTA - SP",1034214.65,1003277.65,-30937.00,-2.99
"CASTANHEIRAS - RO",949690.91,949690.91,-0.00,-0.00
"ITAPIRAPUA - GO",769424.72,758458.72,-10966.00,-1.43
"JOAQUIM PIRES - PI",1675610.66,1666317.66,-9293.00,-0.55
"RIACHO DAS ALMAS - PE",1854935.25,1845575.25,-9360.00,-0.50
"IAPU - MG",1220194.03,1215478.03,-4716.00,-0.39
"ASSIS - SP",5946099.95,5853533.95,-92566.00,-1.56
"PONTALINDA - SP",521881.24,515471.24,-6410.00,-1.23
"SAO LUDGERO - SC",683876.50,679130.50,-4746.00,-0.69
"CAFELANDIA - SP",1371451.37,1356321.37,-15130.00,-1.10
"PAI PEDRO - MG",678729.66,669237.66,-9492.00,-1.40
"BOM SUCESSO - MG",1227842.88,1195275.49,-32567.39,-2.65
"GENERAL CARNEIRO - PR",961968.08,954888.08,-7080.00,-0.74
"PORANGA - CE",1433258.10,1414232.10,-19026.00,-1.33
"CRICIUMA - SC",14880106.59,14818290.59,-61816.00,-0.42
"BELEM - PB",1492917.81,1468077.81,-24840.00,-1.66
"CORRENTE - PI",3330353.92,3317933.92,-12420.00,-0.37
"BELEM - PA",117817461.04,78157300.99,-39660160.05,-33.66
"LAJINHA - MG",1198190.06,1187825.70,-10364.36,-0.87
"ALTO RIO DOCE - MG",794899.58,789628.58,-5271.00,-0.66
"VARZEA GRANDE - MT",9150063.87,9127655.87,-22408.00,-0.24
"QUILOMBO - SC",787805.37,786701.37,-1104.00,-0.14
"SANTO HIPOLITO - MG",505250.65,502412.65,-2838.00,-0.56
"BURITI DE GOIAS - GO",527484.53,523788.53,-3696.00,-0.70
"DAMOLANDIA - GO",447713.61,436313.61,-11400.00,-2.55
"ITAIOPOLIS - SC",1197386.92,1194922.92,-2464.00,-0.21
"REGISTRO - SP",3012602.39,2854256.49,-158345.90,-5.26
"CUITE - PB",2106884.16,2097239.16,-9645.00,-0.46
"AMARAL FERRADOR - RS",561025.35,547695.35,-13330.00,-2.38
"LIMEIRA DO OESTE - MG",804500.89,801662.89,-2838.00,-0.35
"SANTO ANTONIO DO PARAISO - PR",474877.22,474877.22,0.00,0.00
"AUGUSTO DE LIMA - MG",555165.02,551469.02,-3696.00,-0.67
"IBIMIRIM - PE",2515355.79,2456363.79,-58992.00,-2.35
"APARECIDA DO RIO NEGRO - TO",583138.55,568306.55,-14832.00,-2.54
"SAO JOAO DA PARAUNA - GO",447810.01,443082.01,-4728.00,-1.06
"APUI - AM",1526454.38,1516714.38,-9740.00,-0.64
"MARECHAL CANDIDO RONDON - PR",3524313.80,3515769.80,-8544.00,-0.24
"PAUDALHO - PE",3753227.02,3725545.02,-27682.00,-0.74
"BELA VISTA DE GOIAS - GO",1593024.03,1566204.03,-26820.00,-1.68
"AMPARO - SP",4070527.87,3998128.87,-72399.00,-1.78
"PEDRA AZUL - MG",1767821.73,1754726.02,-13095.71,-0.74
"BAEPENDI - MG",1365146.81,1316220.28,-48926.53,-3.58
"PONTALINA - GO",1416257.90,1397492.90,-18765.00,-1.32
"MOIPORA - GO",433525.50,429343.50,-4182.00,-0.96
"SIMONESIA - MG",1419146.49,1409816.49,-9330.00,-0.66
"INHAPI - AL",1974656.35,1962242.35,-12414.00,-0.63
"CUIABA - MT",73525427.80,42638599.86,-30886827.94,-42.01
"MESQUITA - RJ",9336035.59,9319251.59,-16784.00,-0.18
"MALHADA DOS BOIS - SE",937817.51,934175.51,-3642.00,-0.39
"ABADIA DE GOIAS - GO",727819.18,719347.18,-8472.00,-1.16
"SAO JOSE DO OURO - RS",678122.48,657209.54,-20912.94,-3.08
"IBIUNA - SP",2795540.09,2693348.09,-102192.00,-3.66
"SILVANIA - GO",2096898.68,2092122.68,-4776.00,-0.23
"NHANDEARA - SP",739326.18,732702.18,-6624.00,-0.90
"PIRATININGA - SP",876190.06,866228.06,-9962.00,-1.14
"JAPERI - RJ",6257319.71,6251149.71,-6170.00,-0.10
"SAO JOAQUIM DA BARRA - SP",2437052.63,2425244.63,-11808.00,-0.48
"MALACACHETA - MG",1970025.85,1943628.85,-26397.00,-1.34
"GURUPI - TO",4467617.62,4332061.62,-135556.00,-3.03
"POCRANE - MG",570624.70,555336.70,-15288.00,-2.68
"ITAJAI - SC",15147263.62,15103083.62,-44180.00,-0.29
"CORONEL FABRICIANO - MG",4921175.50,4884232.50,-36943.00,-0.75
"SAO JORGE DO IVAI - PR",574370.58,574370.58,0.00,0.00
"DIORAMA - GO",585581.62,572267.62,-13314.00,-2.27
"ITAMBE DO MATO DENTRO - MG",608095.06,604243.06,-3852.00,-0.63
"LINS - SP",3800387.87,3706405.87,-93982.00,-2.47
"NOVO BRASIL - GO",497740.81,492964.81,-4776.00,-0.96
"ITACARAMBI - MG",1676621.98,1663073.98,-13548.00,-0.81
"PORTO LUCENA - RS",455089.63,453473.14,-1616.49,-0.36
"FORTALEZA - CE",249114336.98,173507366.60,-75606970.38,-30.35
"TAPIRATIBA - SP",1055158.70,1048948.70,-6210.00,-0.59
"GUAXUPE - MG",2322490.03,2304238.03,-18252.00,-0.79
"SAO PEDRO DO SUACUI - MG",527218.93,518898.93,-8320.00,-1.58
"SAO ROQUE - SP",5293818.78,5262858.78,-30960.00,-0.58
"GUARAPARI - ES",4715924.33,4691846.33,-24078.00,-0.51
"BARRAS - PI",5752892.95,5745482.95,-7410.00,-0.13
"BRASILIA - DF",92126825.21,18036493.10,-74090332.11,-80.42
"BRASILEIRA - PI",850372.06,838984.06,-11388.00,-1.34
"SAO JOAO DO PACUI - MG",870676.28,862204.28,-8472.00,-0.97
"BARRA BONITA - SP",1741866.95,1728586.95,-13280.00,-0.76
"RIO TINTO - PB",2348073.01,2334837.01,-13236.00,-0.56
"SANTA MARIA DE ITABIRA - MG",892536.13,887760.13,-4776.00,-0.54
"BARRA BONITA - SC",445756.76,439132.76,-6624.00,-1.49
"SAO FELIPE - BA",2274937.25,2268331.25,-6606.00,-0.29
"MARILIA - SP",12245711.50,11905986.50,-339725.00,-2.77
"ERVAL VELHO - SC",434478.39,433926.39,-552.00,-0.13
"GONCALVES - MG",532083.30,530235.30,-1848.00,-0.35
"SARANDI - RS",1513158.73,1498424.73,-14734.00,-0.97
"SANTA CRUZ DO SUL - RS",9341998.32,9288348.32,-53650.00,-0.57
"ARACOIABA DA SERRA - SP",2131960.83,2119030.83,-12930.00,-0.61
"DIVINO DE SAO LOURENCO - ES",585910.22,584806.22,-1104.00,-0.19
"MESQUITA - MG",571773.23,569925.23,-1848.00,-0.32
"PETROLINA DE GOIAS - GO",749566.68,747016.68,-2550.00,-0.34
"SAO SEBASTIAO DO CAI - RS",1568956.70,1566516.70,-2440.00,-0.16
"ANTONIO OLINTO - PR",708399.59,699975.59,-8424.00,-1.19
"BARAO DE ANTONINA - SP",463173.09,462621.09,-552.00,-0.12
"UNIAO PAULISTA - SP",436653.96,431689.96,-4964.00,-1.14
"SAO LUIZ - RR",593836.04,591956.04,-1880.00,-0.32
"ARACITABA - MG",444633.60,442785.60,-1848.00,-0.42
"CANDEIAS - BA",7116289.45,7100113.45,-16176.00,-0.23
"ARAME - MA",3493266.60,3485746.60,-7520.00,-0.22
"SAO JOAO DA LAGOA - MG",521765.27,518069.27,-3696.00,-0.71
"GETULIO VARGAS - RS",947401.44,942251.44,-5150.00,-0.54
"AREALVA - SP",846337.00,838417.00,-7920.00,-0.94
"BURITAMA - SP",1330288.58,1311980.58,-18308.00,-1.38
"CONCORDIA DO PARA - PA",4800498.71,4784048.71,-16450.00,-0.34
"PRATANIA - SP",559491.81,552271.81,-7220.00,-1.29
"FIGUEIRA - PR",1820965.58,1818097.58,-2868.00,-0.16
"BIRITIBA-MIRIM - SP",1617070.07,1596340.07,-20730.00,-1.28
"PARAISOPOLIS - MG",1147500.83,1143642.47,-3858.36,-0.34
"SERRA PRETA - BA",1671941.62,1671941.62,-0.00,-0.00
"BODOCO - PE",3059754.26,3053190.26,-6564.00,-0.21
"DIOGO DE VASCONCELOS - MG",576121.70,562449.70,-13672.00,-2.37
