"Mun";"entrada/marco/201703.zip";"entrada/abril/201703.zip";"Diff";"Percent"
"MONTE AZUL - MG";1614171,39;1601463,39;-12708,00;-0,79
"SANTO ANASTACIO - SP";1225658,73;1223204,73;-2454,00;-0,20
"PALMEIRA DAS MISSOES - RS";2490561,79;2408559,31;-82002,48;-3,29
"MATERLANDIA - MG";579530,21;572123,21;-7407,00;-1,28
"TRES DE MAIO - RS";1470924,11;1457024,77;-13899,34;-0,94
"VIAMAO - RS";8526746,72;8476427,56;-50319,16;-0,59
"VESPASIANO - MG";5549870,96;5537162,96;-12708,00;-0,23
"NOVO CRUZEIRO - MG";1847541,22;1831304,34;-16236,88;-0,88
"CARMO DO PARANAIBA - MG";2020505,62;2015582,62;-4923,00;-0,24
"SAO MIGUEL ARCANJO - SP";1725022,19;1714546,19;-10476,00;-0,61
"CANGUCU - RS";2478506,21;2294788,67;-183717,54;-7,41
"TRES COROAS - RS";1431918,40;1399504,16;-32414,24;-2,26
"BETIM - MG";20918502,71;20891430,71;-27072,00;-0,13
"CUBATAO - SP";10988604,38;10883808,38;-104796,00;-0,95
"MARMELEIRO - PR";1442409,91;1438107,91;-4302,00;-0,30
"SANTA RITA DO SAPUCAI - MG";3397818,45;3365737,61;-32080,84;-0,94
"PEDREGULHO - SP";1270788,03;1268304,03;-2484,00;-0,20
"PRAIA GRANDE - SP";13144748,12;13086986,12;-57762,00;-0,44
"CANAPOLIS - MG";937296,39;922968,39;-14328,00;-1,53
"FERRAZ DE VASCONCELOS - SP";5348207,35;5316941,35;-31266,00;-0,58
"ASTORGA - PR";1519841,70;1509841,70;-10000,00;-0,66
"IVATE - PR";632313,57;622313,57;-10000,00;-1,58
"SAO BENTO ABADE - MG";564031,83;554095,83;-9936,00;-1,76
"ITAMBACURI - MG";1818030,04;1813773,04;-4257,00;-0,23
"LIMEIRA - SP";11896109,24;11891969,24;-4140,00;-0,03
"PONTE NOVA - MG";5697404,59;5674220,59;-23184,00;-0,41
"SAO JOSE DO RIO PRETO - SP";15883914,64;15348744,71;-535169,93;-3,37
"BRAUNAS - MG";691534,76;674776,76;-16758,00;-2,42
"NAZARE PAULISTA - SP";1080801,82;1050150,82;-30651,00;-2,84
"PONTALINDA - SP";534459,96;530319,96;-4140,00;-0,77
"BOM SUCESSO - MG";1383532,34;1368591,95;-14940,39;-1,08
"BELEM - PA";108013289,49;66412988,58;-41600300,91;-38,51
"LAJINHA - MG";1356157,71;1336862,35;-19295,36;-1,42
"ALTO RIO DOCE - MG";1040840,07;1033766,07;-7074,00;-0,68
"VARZEA GRANDE - MT";8921472,26;8899064,26;-22408,00;-0,25
"SANTO HIPOLITO - MG";561630,12;551712,12;-9918,00;-1,77
"REGISTRO - SP";3022954,93;2936260,03;-86694,90;-2,87
"DESCOBERTO - MG";559516,63;557860,63;-1656,00;-0,30
"MARECHAL CANDIDO RONDON - PR";3949545,01;3945243,01;-4302,00;-0,11
"AMPARO - SP";4129551,41;4097349,41;-32202,00;-0,78
"PEDRA AZUL - MG";1756701,69;1741757,98;-14943,71;-0,85
"BAEPENDI - MG";1295518,97;1266452,44;-29066,53;-2,24
"SIMONESIA - MG";1282809,45;1264197,45;-18612,00;-1,45
"CUIABA - MT";75775420,91;39563105,64;-36212315,27;-47,79
"SAO SEBASTIAO DA BELA VISTA - MG";625909,84;624253,84;-1656,00;-0,26
"SAO JOSE DO OURO - RS";498278,77;477365,83;-20912,94;-4,20
"IBIUNA - SP";3113830,79;3056281,79;-57549,00;-1,85
"NHANDEARA - SP";731022,37;721086,37;-9936,00;-1,36
