"Mun","entrada/marco/201802.zip","entrada/abril/201802.zip","Diff","Percent"
"PALMEIRA DAS MISSOES - RS",2636701.11,2554698.63,-82002.48,-3.11
"TRES DE MAIO - RS",2119850.49,2105951.15,-13899.34,-0.66
"VIAMAO - RS",10399071.38,10348752.22,-50319.16,-0.48
"PORTO UNIAO - SC",2366914.83,2326491.88,-40422.95,-1.71
"ACARAU - CE",8055907.64,8051071.64,-4836.00,-0.06
"NOVO CRUZEIRO - MG",2586017.43,2578833.84,-7183.59,-0.28
"CANGUCU - RS",3555419.76,3484412.90,-71006.86,-2.00
"TRES COROAS - RS",2223489.72,2191075.48,-32414.24,-1.46
"SANTA RITA DO SAPUCAI - MG",3390538.08,3358457.24,-32080.84,-0.95
"TERESOPOLIS - RJ",12543626.25,12245786.25,-297840.00,-2.37
"PINHAIS - PR",7016858.98,7010341.71,-6517.27,-0.09
"SAO JOSE DO RIO PRETO - SP",18788215.92,18253873.99,-534341.93,-2.84
"BOM SUCESSO - MG",1891225.90,1878739.51,-12486.39,-0.66
"BELEM - PA",146018004.91,113964179.77,-32053825.14,-21.95
"LAJINHA - MG",2276507.02,2269919.66,-6587.36,-0.29
"REGISTRO - SP",4072079.23,4012960.33,-59118.90,-1.45
"PEDRA AZUL - MG",2601677.71,2592278.00,-9399.71,-0.36
"BAEPENDI - MG",2038669.30,2009602.77,-29066.53,-1.43
"CUIABA - MT",162835045.61,43955526.87,-118879518.74,-73.01
"MESQUITA - RJ",9122408.97,8923508.97,-198900.00,-2.18
"SAO JOSE DO OURO - RS",809836.00,788923.06,-20912.94,-2.58
"JAPERI - RJ",7312550.06,7157510.06,-155040.00,-2.12
"PORTO LUCENA - RS",773049.52,771433.03,-1616.49,-0.21
"FORTALEZA - CE",283883097.39,233458443.45,-50424653.94,-17.76
"GUAPIMIRIM - RJ",4074073.80,4010833.80,-63240.00,-1.55
"BRASILIA - DF",84618655.71,67502840.98,-17115814.73,-20.23
"RIO TINTO - PB",3177876.55,3153198.55,-24678.00,-0.78
"SEROPEDICA - RJ",6019605.59,5917605.59,-102000.00,-1.69
"PARAISOPOLIS - MG",1932781.47,1928923.11,-3858.36,-0.20
"UBA - MG",6380988.94,5746842.97,-634145.97,-9.94
"TUPA - SP",3804933.46,3693942.74,-110990.72,-2.92
"IVOTI - RS",1784023.42,1777387.22,-6636.20,-0.37
"SARANDI - PR",6055057.35,5834606.80,-220450.55,-3.64
"FILADELFIA - TO",1051396.46,1023307.46,-28089.00,-2.67
"BRAGANCA PAULISTA - SP",9113565.01,9038565.01,-75000.00,-0.82
"JAPOATA - SE",1995521.73,1979069.73,-16452.00,-0.82
"BAMBUI - MG",2192206.72,2171526.67,-20680.05,-0.94
"PASSO FUNDO - RS",9439301.22,8794359.39,-644941.83,-6.83
"GARCA - SP",3663318.97,3621820.14,-41498.83,-1.13
"JOAO PESSOA - PB",87072689.60,79890996.66,-7181692.94,-8.25
"SANTO CRISTO - RS",1440256.06,1423526.48,-16729.58,-1.16
"FERNANDOPOLIS - SP",4541267.32,4115868.37,-425398.95,-9.37
"BREJO DO CRUZ - PB",2745269.20,2739725.20,-5544.00,-0.20
"CAMBUI - MG",2310155.70,2301825.31,-8330.39,-0.36
"AIURUOCA - MG",890087.39,873768.12,-16319.27,-1.83
"AREIA BRANCA - SE",3401783.21,3382199.21,-19584.00,-0.58
"CRUZ ALTA - RS",4866826.34,4326166.87,-540659.47,-11.11
