"Mun","entrada/marco/201707.zip","entrada/abril/201707.zip","Diff","Percent"
"TERRA NOVA - BA",1518621.47,1517722.64,-898.83,-0.06
"ITANHEM - BA",2785210.06,2784283.77,-926.29,-0.03
"MAETINGA - BA",1453318.36,1452419.53,-898.83,-0.06
"MALHADA - BA",2444769.56,2443870.73,-898.83,-0.04
"PALMEIRA DAS MISSOES - RS",2850253.05,2768250.57,-82002.48,-2.88
"HELIOPOLIS - BA",1801077.50,1800178.67,-898.83,-0.05
"TRES DE MAIO - RS",2552665.92,2537286.58,-15379.34,-0.60
"VIAMAO - RS",9681799.24,9593490.08,-88309.16,-0.91
"AMERICA DOURADA - BA",2055940.63,2055041.80,-898.83,-0.04
"MAE DO RIO - PA",3273762.40,3254272.40,-19490.00,-0.60
"NOVO CRUZEIRO - MG",2811398.48,2795161.60,-16236.88,-0.58
"OUREM - PA",2053281.60,2045151.60,-8130.00,-0.40
"CANGUCU - RS",3549016.00,3467029.14,-81986.86,-2.31
"RUY BARBOSA - BA",3151109.88,3149674.76,-1435.12,-0.05
"TRES COROAS - RS",2201060.39,2168646.15,-32414.24,-1.47
"FILADELFIA - BA",2488250.93,2487352.10,-898.83,-0.04
"SANTA RITA DO SAPUCAI - MG",2901123.95,2869043.11,-32080.84,-1.11
"ALMADINA - BA",1145879.67,1144980.84,-898.83,-0.08
"SAO MATEUS - ES",8179962.86,8159562.86,-20400.00,-0.25
"PRESIDENTE DUTRA - BA",1917792.49,1916893.66,-898.83,-0.05
"ILOPOLIS - RS",805051.53,800841.53,-4210.00,-0.52
"SAO JOSE DO RIO PRETO - SP",20520531.02,19986189.09,-534341.93,-2.60
"GONGOGI - BA",1226791.43,1225892.60,-898.83,-0.07
"IBITITA - BA",3015167.33,3014268.50,-898.83,-0.03
"BOM SUCESSO - MG",2286737.99,2274251.60,-12486.39,-0.55
"BELEM - PA",124114003.77,82384370.50,-41729633.27,-33.62
"LAJINHA - MG",2139167.43,2132580.07,-6587.36,-0.31
"VARZEA GRANDE - MT",11386281.97,11363873.97,-22408.00,-0.20
"ITATIM - BA",2223146.40,2222247.57,-898.83,-0.04
"REGISTRO - SP",4022167.34,3963048.44,-59118.90,-1.47
"PEDRA AZUL - MG",2436369.11,2426969.40,-9399.71,-0.39
"BAEPENDI - MG",1953149.93,1924083.40,-29066.53,-1.49
"CUIABA - MT",68018858.88,41985825.21,-26033033.67,-38.27
"SAO JOSE DO OURO - RS",877231.08,856318.14,-20912.94,-2.38
"PEDRAO - BA",1061647.17,1060748.34,-898.83,-0.08
"PORTO LUCENA - RS",796598.25,793461.76,-3136.49,-0.39
"FORTALEZA - CE",292744469.48,202598329.07,-90146140.41,-30.79
"GUARAPARI - ES",6679492.46,6671772.46,-7720.00,-0.12
