"Mun","entrada/marco/201410.zip","entrada/abril/201410.zip","Diff","Percent"
"MONTE AZUL - MG",1641333.02,1637560.25,-3772.77,-0.23
"PALMEIRA DAS MISSOES - RS",2029482.58,2013564.97,-15917.61,-0.78
"TRES DE MAIO - RS",1387731.12,1360976.60,-26754.52,-1.93
"VIAMAO - RS",5962658.26,5937658.26,-25000.00,-0.42
"NOVO CRUZEIRO - MG",1877890.93,1853837.64,-24053.29,-1.28
"OUREM - PA",1371615.96,1351615.96,-20000.00,-1.46
"SALTO GRANDE - SP",730615.14,726615.14,-4000.00,-0.55
"TRES COROAS - RS",1255944.86,1232971.08,-22973.78,-1.83
"CUBATAO - SP",13942213.26,13938213.26,-4000.00,-0.03
"SANTA RITA DO SAPUCAI - MG",1786379.31,1758900.14,-27479.17,-1.54
"JOAO NEIVA - ES",1506555.07,1486555.07,-20000.00,-1.33
"SANANDUVA - RS",914166.45,907140.94,-7025.51,-0.77
"PRAIA GRANDE - SP",13911330.38,13903330.38,-8000.00,-0.06
"SAO MATEUS - ES",15494295.48,15444295.48,-50000.00,-0.32
"ASTORGA - PR",1679774.65,1649774.65,-30000.00,-1.79
"POCO FUNDO - MG",903292.92,894908.79,-8384.13,-0.93
"ITAPIRAPUA - GO",853463.13,838463.13,-15000.00,-1.76
"BELEM - PA",107823337.96,67491248.47,-40332089.49,-37.41
"REGISTRO - SP",2876754.78,2831452.86,-45301.92,-1.57
"SAO JOAO DA PARAUNA - GO",443337.64,433337.64,-10000.00,-2.26
"AMPARO - SP",4120232.11,4074682.11,-45550.00,-1.11
"PONTALINA - GO",1629865.97,1609865.97,-20000.00,-1.23
"SIMONESIA - MG",1175130.12,1155130.12,-20000.00,-1.70
"CUIABA - MT",91440146.17,37631821.97,-53808324.20,-58.85
"SAO JOSE DO OURO - RS",637581.69,622615.56,-14966.13,-2.35
"MALACACHETA - MG",1191351.47,1176351.47,-15000.00,-1.26
"GURUPI - TO",3877685.48,3863181.01,-14504.47,-0.37
"CORONEL FABRICIANO - MG",8304074.94,8298649.23,-5425.71,-0.07
"NOVO BRASIL - GO",527556.77,517556.77,-10000.00,-1.90
"ITACARAMBI - MG",1791302.94,1781302.94,-10000.00,-0.56
"PORTO LUCENA - RS",463728.95,461818.12,-1910.83,-0.41
"FORTALEZA - CE",242072763.84,143978431.03,-98094332.81,-40.52
"BRASILIA - DF",227364864.55,501103213.11,273738348.56,120.40
"CONDOR - RS",965618.09,964405.08,-1213.01,-0.13
"SAPOPEMA - PR",767670.02,757670.02,-10000.00,-1.30
"MARILIA - SP",13438916.16,13256897.75,-182018.41,-1.35
"SARANDI - RS",1800845.26,1796084.82,-4760.44,-0.26
"SAO SEBASTIAO DO CAI - RS",1126373.71,1117858.63,-8515.08,-0.76
"CONCORDIA DO PARA - PA",2494402.18,2464402.18,-30000.00,-1.20
"PARAISOPOLIS - MG",957566.52,953577.63,-3988.89,-0.42
"UBA - MG",4092099.54,3919570.51,-172529.03,-4.22
"TIMOTEO - MG",3611938.78,3577016.60,-34922.18,-0.97
"BOM JESUS DO TOCANTINS - PA",1248106.89,1238106.89,-10000.00,-0.80
"TUPA - SP",2855292.14,2731671.63,-123620.51,-4.33
"IVOTI - RS",976655.02,970251.50,-6403.52,-0.66
"JESUPOLIS - GO",427375.72,412375.72,-15000.00,-3.51
"SARANDI - PR",3976488.66,3942338.99,-34149.67,-0.86
"INHAPIM - MG",1509404.44,1491369.58,-18034.86,-1.19
"BRAGANCA PAULISTA - SP",6770351.93,6676651.93,-93700.00,-1.38
"GUARUJA - SP",11351526.16,11343526.16,-8000.00,-0.07
"BAMBUI - MG",1250785.68,1230105.63,-20680.05,-1.65
"PASSO FUNDO - RS",6130882.88,5777389.54,-353493.34,-5.77
"GARCA - SP",5057655.18,5001216.47,-56438.71,-1.12
"JOAO PESSOA - PB",98884963.84,59767506.94,-39117456.90,-39.56
"CRISTALINA - GO",4321768.80,4286768.80,-35000.00,-0.81
"SANTO CRISTO - RS",884827.31,877940.61,-6886.70,-0.78
"FERNANDOPOLIS - SP",3321765.12,3066946.75,-254818.37,-7.67
"CANAA DOS CARAJAS - PA",4080835.90,4060835.90,-20000.00,-0.49
"CAMBUI - MG",1361115.30,1353518.94,-7596.36,-0.56
"FORMIGA - MG",3425245.19,3341329.85,-83915.34,-2.45
"CARPINA - PE",3814177.13,3708025.97,-106151.16,-2.78
"AIURUOCA - MG",507772.08,491452.81,-16319.27,-3.21
"CRUZ ALTA - RS",3917982.72,3615215.69,-302767.03,-7.73
"CAMPO ALEGRE DE LOURDES - BA",2299359.36,2280627.36,-18732.00,-0.81
"CARIACICA - ES",9145609.70,8929774.08,-215835.62,-2.36
"SANTIAGO - RS",2451323.96,2429378.05,-21945.91,-0.90
"SAO LUIS - MA",104029258.48,67378819.34,-36650439.14,-35.23
"SANTA BARBARA DO SUL - RS",1045528.61,1035866.23,-9662.38,-0.92
"BOM DESPACHO - MG",2361299.26,2318051.25,-43248.01,-1.83
"COCALZINHO DE GOIAS - GO",1583296.22,1563296.22,-20000.00,-1.26
"IRAI - RS",548624.62,543529.87,-5094.75,-0.93
"CACHOEIRO DE ITAPEMIRIM - ES",8170296.87,7847946.82,-322350.05,-3.95
"ESPIRITO SANTO DO PINHAL - SP",2188284.47,2153684.47,-34600.00,-1.58
"NAO-ME-TOQUE - RS",974321.85,972589.72,-1732.13,-0.18
"CLEVELANDIA - PR",1406538.55,1400789.56,-5748.99,-0.41
"CAIEIRAS - SP",3247898.73,3239898.73,-8000.00,-0.25
"ALEGRETE - RS",4658781.09,4483196.06,-175585.03,-3.77
"SAO FRANCISCO - MG",2563413.36,2553413.36,-10000.00,-0.39
"SOROCABA - SP",19977487.80,19578503.26,-398984.54,-2.00
"ITAPURANGA - GO",1662668.26,1652668.26,-10000.00,-0.60
"SANTA ROSA DE LIMA - SC",427153.18,406153.18,-21000.00,-4.92
"PORTO GRANDE - AP",1364289.61,1344289.61,-20000.00,-1.47
"CARMO DO RIO VERDE - GO",775172.13,760172.13,-15000.00,-1.94
"APIAI - SP",1758328.54,1732378.54,-25950.00,-1.48
"RIO NOVO DO SUL - ES",1375583.91,1365583.91,-10000.00,-0.73
"RIO PARDO DE MINAS - MG",1833063.14,1818063.14,-15000.00,-0.82
"GOIANESIA - GO",3512636.69,3487636.69,-25000.00,-0.71
"PUTINGA - RS",442950.34,438981.97,-3968.37,-0.90
"IJUI - RS",4437858.38,3399691.45,-1038166.93,-23.39
"CACERES - MT",4050257.28,4046390.05,-3867.23,-0.10
"MAUA - SP",17981806.94,17900921.60,-80885.34,-0.45
