"Mun","entrada/marco/201911.zip","entrada/abril/201911.zip","Diff","Percent"
"POTIM - SP",1832644.18,1826014.18,-6630.00,-0.36
"PALMEIRA DAS MISSOES - RS",2559928.83,2521491.59,-38437.24,-1.50
"TRES DE MAIO - RS",2089430.38,2073446.89,-15983.49,-0.76
"PORTO UNIAO - SC",2787904.44,2747481.49,-40422.95,-1.45
"ANALANDIA - SP",746772.68,744912.68,-1860.00,-0.25
"SOBRAL - CE",29724449.71,29599101.66,-125348.05,-0.42
"SANTANA DE PARNAIBA - SP",6725580.08,6719330.08,-6250.00,-0.09
"NOVO CRUZEIRO - MG",2663268.88,2655318.88,-7950.00,-0.30
"TRES COROAS - RS",1981133.55,1953744.13,-27389.42,-1.38
"BETIM - MG",25014383.65,24990853.65,-23530.00,-0.09
"PLANALTO - RS",1153014.60,1144575.41,-8439.19,-0.73
"PORTO XAVIER - RS",1067030.77,1062165.49,-4865.28,-0.46
"SANTA RITA DO SAPUCAI - MG",2901528.46,2886517.53,-15010.93,-0.52
"PEDREGULHO - SP",1644034.92,1632624.92,-11410.00,-0.69
"AURORA - CE",3035859.66,3025719.66,-10140.00,-0.33
"ARACAGI - PB",2286286.87,2279876.87,-6410.00,-0.28
"FERRAZ DE VASCONCELOS - SP",6939332.59,6917292.59,-22040.00,-0.32
"BERIZAL - MG",777296.96,771556.96,-5740.00,-0.74
"ITAMBACURI - MG",2320930.86,2317520.86,-3410.00,-0.15
"JECEABA - MG",1096101.03,1093281.03,-2820.00,-0.26
"SAO JOSE DO RIO PRETO - SP",23195671.07,23173691.07,-21980.00,-0.09
"IAPU - MG",1228173.11,1218473.11,-9700.00,-0.79
"CAFELANDIA - SP",1813684.50,1798244.50,-15440.00,-0.85
"BOM SUCESSO - MG",2461473.59,2450534.52,-10939.07,-0.44
"BELEM - PA",151204855.07,94132924.10,-57071930.97,-37.74
"LAJINHA - MG",1934416.77,1932056.77,-2360.00,-0.12
"REGISTRO - SP",3864889.15,3803190.25,-61698.90,-1.60
"AMPARO - SP",5714188.72,5706588.72,-7600.00,-0.13
"CUIABA - MT",79260423.34,45969538.66,-33290884.68,-42.00
"CRUZEIRO DA FORTALEZA - MG",810374.55,807344.55,-3030.00,-0.37
"SAO JOSE DO OURO - RS",712374.32,691461.38,-20912.94,-2.94
"SAO JOAQUIM DA BARRA - SP",3681549.95,3637549.95,-44000.00,-1.20
"GURUPI - TO",8638431.12,8630391.12,-8040.00,-0.09
"LINS - SP",4971329.89,4904059.89,-67270.00,-1.35
"PORTO LUCENA - RS",706643.82,704689.18,-1954.64,-0.28
