"Mun";"entrada/marco/201607.zip";"entrada/abril/201607.zip";"Diff";"Percent"
"TERRA NOVA - BA";1430609,76;1425069,76;-5540,00;-0,39
"CONTENDA - PR";1743567,49;1721597,49;-21970,00;-1,26
"OLIVEIRA DE FATIMA - TO";584338,12;582738,12;-1600,00;-0,27
"OCAUCU - SP";641851,46;637801,46;-4050,00;-0,63
"MONTE AZUL - MG";1949583,15;1916723,15;-32860,00;-1,69
"CAMPO BELO DO SUL - SC";858722,89;850052,89;-8670,00;-1,01
"ITAPOA - SC";1990370,16;1980740,16;-9630,00;-0,48
"ITANHEM - BA";2192286,42;2181106,42;-11180,00;-0,51
"MAETINGA - BA";1268556,95;1265026,95;-3530,00;-0,28
"POTIM - SP";1563444,80;1556884,80;-6560,00;-0,42
"LAVINIA - SP";898251,14;895761,14;-2490,00;-0,28
"PANAMBI - RS";2973109,72;2933839,72;-39270,00;-1,32
"SAO JOSE DO CALCADO - ES";1491647,89;1483337,89;-8310,00;-0,56
"SERRA DA RAIZ - PB";779540,67;774130,67;-5410,00;-0,69
"SAO JOSE DO JACURI - MG";753338,90;740798,90;-12540,00;-1,66
"SANTO ANASTACIO - SP";1597028,45;1583488,45;-13540,00;-0,85
"MONTE ALEGRE DO SUL - SP";721356,52;716946,52;-4410,00;-0,61
"JARDIM DE PIRANHAS - RN";1611759,79;1604839,79;-6920,00;-0,43
"TAIUVA - SP";676475,63;671855,63;-4620,00;-0,68
"IBIAPINA - CE";2666738,47;2656588,47;-10150,00;-0,38
"IMIGRANTE - RS";623020,78;621180,78;-1840,00;-0,30
"MALHADA - BA";2063641,59;2055371,59;-8270,00;-0,40
"PALMEIRA DAS MISSOES - RS";2341419,13;2189619,04;-151800,09;-6,48
"ALTO ARAGUAIA - MT";1432997,09;1430617,09;-2380,00;-0,17
"MATERLANDIA - MG";743036,89;735876,89;-7160,00;-0,96
"BANABUIU - CE";2342791,27;2334911,27;-7880,00;-0,34
"HORIZONTINA - RS";1582295,10;1573225,10;-9070,00;-0,57
"NOSSA SENHORA DA GLORIA - SE";2866817,37;2845827,37;-20990,00;-0,73
"IPIRA - SC";632736,05;630466,05;-2270,00;-0,36
"HELIOPOLIS - BA";1684248,75;1677598,75;-6650,00;-0,39
"TRES DE MAIO - RS";1864216,98;1801553,12;-62663,86;-3,36
"CARIRI DO TOCANTINS - TO";726972,95;723532,95;-3440,00;-0,47
"VIAMAO - RS";8402262,73;8278555,57;-123707,16;-1,47
"PORTO UNIAO - SC";2399004,07;2354684,07;-44320,00;-1,85
"SAO PEDRO DO IVAI - PR";1049240,97;1038220,97;-11020,00;-1,05
"AMERICA DOURADA - BA";2050661,92;2043661,92;-7000,00;-0,34
"SALITRE - CE";2139277,23;2132097,23;-7180,00;-0,34
"PENTECOSTE - CE";3741853,01;3721053,01;-20800,00;-0,56
"PATO BRAGADO - PR";1923872,77;1918992,77;-4880,00;-0,25
"ANALANDIA - SP";706979,95;704589,95;-2390,00;-0,34
"SOBRAL - CE";26993233,77;26902643,77;-90590,00;-0,34
"ACARAU - CE";5624687,75;5592237,75;-32450,00;-0,58
"CAPINZAL DO NORTE - MA";1633292,44;1628652,44;-4640,00;-0,28
"PORTO RICO - PR";743891,97;740611,97;-3280,00;-0,44
"DONA INES - PB";1328029,73;1321409,73;-6620,00;-0,50
"VESPASIANO - MG";6556819,69;6476209,69;-80610,00;-1,23
"ITAPEMIRIM - ES";10214535,93;10181585,93;-32950,00;-0,32
"TURURU - CE";1761826,19;1753786,19;-8040,00;-0,46
"ANDORINHA - BA";2005501,77;1996591,77;-8910,00;-0,44
"SANTANA DE PARNAIBA - SP";5869888,83;5865868,83;-4020,00;-0,07
"CHOROZINHO - CE";2370532,20;2362182,20;-8350,00;-0,35
"COXILHA - RS";606444,73;604184,73;-2260,00;-0,37
"LAGOA DE DENTRO - PB";1138281,32;1130151,32;-8130,00;-0,71
"NOVO CRUZEIRO - MG";2376374,21;2298027,33;-78346,88;-3,30
"COQUEIRO BAIXO - RS";594708,24;593778,24;-930,00;-0,16
"PATROCINIO DO MURIAE - MG";740695,25;734165,25;-6530,00;-0,88
"CARMO DO PARANAIBA - MG";2565488,74;2526218,74;-39270,00;-1,53
"SAO MIGUEL ARCANJO - SP";2187440,60;2152270,60;-35170,00;-1,61
"GUARINOS - GO";644337,81;640677,81;-3660,00;-0,57
"VILA LANGARO - RS";719910,76;717720,76;-2190,00;-0,30
"FORMOSA DO OESTE - PR";772195,49;762285,49;-9910,00;-1,28
"SALTO GRANDE - SP";907065,82;897725,82;-9340,00;-1,03
"LARANJEIRAS - SE";2688594,38;2681144,38;-7450,00;-0,28
"DOURADINA - MS";750589,69;741849,69;-8740,00;-1,16
"CANGUCU - RS";3233925,27;3002517,73;-231407,54;-7,16
"RUY BARBOSA - BA";3275132,43;3261922,43;-13210,00;-0,40
"URUCUI - PI";2096991,64;2081891,64;-15100,00;-0,72
"RAPOSOS - MG";1202694,83;1196784,83;-5910,00;-0,49
"ITAIPULANDIA - PR";5616614,80;5603924,80;-12690,00;-0,23
"TRES COROAS - RS";2164535,90;2119468,78;-45067,12;-2,08
"URUPES - SP";995542,95;991222,95;-4320,00;-0,43
"BETIM - MG";21876461,04;21761651,04;-114810,00;-0,52
