"Mun","./backup/201902.zip","novo/201902.zip","Diff","Percent"
"SAO JOSE DO JACURI - MG",2171871.44,2171871.44,-0.00,-0.00
"PALMEIRA DAS MISSOES - RS",2624917.37,2586480.13,-38437.24,-1.46
"NOSSA SENHORA DA GLORIA - SE",4146448.08,4146448.08,0.00,0.00
"TRES DE MAIO - RS",2177320.84,2161337.35,-15983.49,-0.73
"PORTO UNIAO - SC",2421176.63,2380753.68,-40422.95,-1.67
"CANGUCU - RS",3752919.51,3681912.65,-71006.86,-1.89
"TRES COROAS - RS",2315425.93,2288036.51,-27389.42,-1.18
"PLANALTO - RS",1220556.96,1212117.77,-8439.19,-0.69
"PORTO XAVIER - RS",1202654.38,1197789.10,-4865.28,-0.40
"SANTA RITA DO SAPUCAI - MG",3074061.23,3041980.39,-32080.84,-1.04
"PINHAIS - PR",7337198.09,7330680.82,-6517.27,-0.09
"BOM SUCESSO - MG",1952713.61,1941774.54,-10939.07,-0.56
"BELEM - PA",121295667.59,87383562.74,-33912104.85,-27.96
"LAJINHA - MG",2037270.87,2037270.87,0.00,0.00
"ITAIOPOLIS - SC",1948623.60,1948623.60,-0.00,-0.00
"REGISTRO - SP",4196662.29,4137543.39,-59118.90,-1.41
"APIACAS - MT",965539.63,965539.63,-0.00,-0.00
"PAUDALHO - PE",5485783.41,5485783.41,0.00,0.00
"CUIABA - MT",65859297.54,43015473.94,-22843823.60,-34.69
"MESQUITA - RJ",9413676.03,9413676.03,-0.00,-0.00
"SAO JOSE DO OURO - RS",1028732.18,1007819.24,-20912.94,-2.03
"JAPERI - RJ",7806927.90,7806927.90,-0.00,-0.00
"PIRES FERREIRA - CE",1611636.43,1611636.43,-0.00,-0.00
"ITAJAI - SC",19954202.04,19954202.04,-0.00,-0.00
"PORTO LUCENA - RS",815014.08,813059.44,-1954.64,-0.24
"FORTALEZA - CE",256696777.17,201727293.73,-54969483.44,-21.41
"BRASILIA - DF",97201753.28,32053865.88,-65147887.40,-67.02
"SAO GABRIEL - RS",4360997.65,4297837.89,-63159.76,-1.45
"SARANDI - RS",2012511.58,2001873.94,-10637.64,-0.53
"SAO LUIZ - RR",839898.23,839898.23,-0.00,-0.00
"PARAISOPOLIS - MG",1865523.43,1859712.03,-5811.40,-0.31
"UBA - MG",6381008.20,5799211.42,-581796.78,-9.12
"FOZ DO JORDAO - PR",944673.56,944673.56,0.00,0.00
"TUPA - SP",4266631.74,4210812.80,-55818.94,-1.31
"SARANDI - PR",5834229.39,5613778.84,-220450.55,-3.78
"GUAPIARA - SP",1851715.21,1851715.21,0.00,0.00
"BRAGANCA PAULISTA - SP",9746417.25,9566417.25,-180000.00,-1.85
"BELA VISTA DO PIAUI - PI",1027121.60,1027121.60,-0.00,-0.00
"BAMBUI - MG",2299022.00,2278341.95,-20680.05,-0.90
"ITATUBA - PB",1564576.92,1564576.92,0.00,0.00
"PASSO FUNDO - RS",11127306.51,8886716.81,-2240589.70,-20.14
"GARCA - SP",3829094.10,3787595.27,-41498.83,-1.08
"JOAO PESSOA - PB",91993151.86,75970764.63,-16022387.23,-17.42
"SANTO CRISTO - RS",1498606.26,1474823.97,-23782.29,-1.59
"FERNANDOPOLIS - SP",5042905.40,4625929.58,-416975.82,-8.27
