"Mun","./backup/201505.zip","novo/201505.zip","Diff","Percent"
"TARTARUGALZINHO - AP",1309227.36,1283827.36,-25400.00,-1.94
"MONTE AZUL - MG",1699344.05,1642444.05,-56900.00,-3.35
"ITAPOA - SC",1945704.35,1945704.35,-0.00,-0.00
"PANAMBI - RS",3092023.11,3023548.42,-68474.69,-2.21
"JARDIM DE PIRANHAS - RN",1909686.57,1891236.57,-18450.00,-0.97
"PALMEIRA DAS MISSOES - RS",2189994.61,2015150.63,-174843.98,-7.98
"HORIZONTINA - RS",1528369.24,1509519.24,-18850.00,-1.23
"TRES DE MAIO - RS",1865428.19,1772601.98,-92826.21,-4.98
"CARIRI DO TOCANTINS - TO",723120.13,709120.13,-14000.00,-1.94
"VIAMAO - RS",7819906.55,7973566.67,153660.12,1.96
"PORTO UNIAO - SC",2132367.79,2122742.81,-9624.98,-0.45
"VESPASIANO - MG",6199789.23,6185739.23,-14050.00,-0.23
"ITAPEMIRIM - ES",20422619.62,20389040.46,-33579.16,-0.16
"NOVO CRUZEIRO - MG",5464459.66,5389972.78,-74486.88,-1.36
"CARMO DO PARANAIBA - MG",2392227.14,2359077.14,-33150.00,-1.39
"SAO MIGUEL ARCANJO - SP",2600661.00,2567661.00,-33000.00,-1.27
"FORMOSA DO OESTE - PR",752427.91,738727.91,-13700.00,-1.82
"SALTO GRANDE - SP",773195.28,769195.28,-4000.00,-0.52
"CANGUCU - RS",3023923.79,2911213.11,-112710.68,-3.73
"TRES COROAS - RS",1733073.71,1710099.93,-22973.78,-1.33
"PLANALTO - RS",958652.82,880377.26,-78275.56,-8.17
"VISTA GAUCHA - RS",616101.40,578501.40,-37600.00,-6.10
"PORTO XAVIER - RS",1042685.58,958724.30,-83961.28,-8.05
"SANTA RITA DO SAPUCAI - MG",2510107.26,2455728.09,-54379.17,-2.17
"SANTO EXPEDITO DO SUL - RS",608118.95,585429.69,-22689.26,-3.73
"GUARANI DAS MISSOES - RS",707448.89,685398.89,-22050.00,-3.12
"UPANEMA - RN",1587791.44,1564341.44,-23450.00,-1.48
"SANANDUVA - RS",1813548.06,1730286.66,-83261.40,-4.59
"SAO MATEUS - ES",8479307.74,8447357.76,-31949.98,-0.38
"MAGDA - SP",605848.40,584098.40,-21750.00,-3.59
"BERIZAL - MG",677118.30,662668.30,-14450.00,-2.13
"ILHA SOLTEIRA - SP",1799227.27,1782827.27,-16400.00,-0.91
"CAFELANDIA - PR",1262665.64,1262665.64,0.00,0.00
"ITAMBACURI - MG",3882304.50,3846704.50,-35600.00,-0.92
"POCO FUNDO - MG",1273511.58,1265127.44,-8384.14,-0.66
"PONTE NOVA - MG",6495283.72,6445608.72,-49675.00,-0.76
"GUARANTA DO NORTE - MT",2381876.14,2381876.14,0.00,0.00
"SAO JOSE DO RIO PRETO - SP",18851011.61,18847011.61,-4000.00,-0.02
"BRAUNAS - MG",966654.27,954454.27,-12200.00,-1.26
"ASSIS - SP",5643884.88,5621908.58,-21976.30,-0.39
"GENERAL CARNEIRO - PR",1331204.00,1287728.94,-43475.06,-3.27
"CRICIUMA - SC",14916515.11,14744651.36,-171863.75,-1.15
"BELEM - PA",108547665.76,76832167.93,-31715497.83,-29.22
"LAJINHA - MG",1586823.23,1550835.87,-35987.36,-2.27
"SAO JOSE DO CAMPESTRE - RN",1649796.69,1587446.69,-62350.00,-3.78
"VARZEA GRANDE - MT",10958109.63,10935701.63,-22408.00,-0.20
"REGISTRO - SP",4185901.12,4126782.22,-59118.90,-1.41
"AMARAL FERRADOR - RS",671014.95,656097.25,-14917.70,-2.22
"IBIMIRIM - PE",2687982.29,2614742.06,-73240.23,-2.72
"MARECHAL CANDIDO RONDON - PR",3858716.92,3841034.52,-17682.40,-0.46
"PAUDALHO - PE",4606004.63,4452580.72,-153423.91,-3.33
"AMPARO - SP",5354038.25,5315013.25,-39025.00,-0.73
"PEDRA AZUL - MG",2076046.60,2071199.47,-4847.13,-0.23
"SEVERIANO MELO - RN",909562.41,894330.49,-15231.92,-1.67
"CUIABA - MT",65975132.13,40987669.79,-24987462.34,-37.87
