"Mun","entrada/marco/201705.zip","entrada/abril/201705.zip","Diff","Percent"
"PALMEIRA DAS MISSOES - RS",2373618.71,2291616.23,-82002.48,-3.45
"TRES DE MAIO - RS",1848195.13,1834295.79,-13899.34,-0.75
"VIAMAO - RS",8675367.01,8717162.21,41795.20,0.48
"NOVO CRUZEIRO - MG",2261522.69,2245285.81,-16236.88,-0.72
"CANGUCU - RS",3162595.47,2978877.93,-183717.54,-5.81
"TRES COROAS - RS",1930738.89,1898324.65,-32414.24,-1.68
"SANTA RITA DO SAPUCAI - MG",2419830.28,2387749.44,-32080.84,-1.33
"SAO JOSE DO RIO PRETO - SP",19005388.06,18471046.13,-534341.93,-2.81
"BOM SUCESSO - MG",1898317.88,1885831.49,-12486.39,-0.66
"BELEM - PA",132726613.67,82289617.03,-50436996.64,-38.00
"LAJINHA - MG",1575116.24,1568528.88,-6587.36,-0.42
"VARZEA GRANDE - MT",10207715.53,10185307.53,-22408.00,-0.22
"REGISTRO - SP",3750249.42,3691130.52,-59118.90,-1.58
"PEDRA AZUL - MG",2115645.31,2106245.60,-9399.71,-0.44
"BAEPENDI - MG",2146554.49,2117487.96,-29066.53,-1.35
"PONTALINA - GO",1612539.93,1594539.93,-18000.00,-1.12
"CUIABA - MT",74761220.78,51883670.65,-22877550.13,-30.60
"SAO JOSE DO OURO - RS",972750.48,951837.54,-20912.94,-2.15
"PORTO LUCENA - RS",631693.78,630077.29,-1616.49,-0.26
"FORTALEZA - CE",244844275.27,183685197.68,-61159077.59,-24.98
"BRASILIA - DF",81763905.94,19119538.08,-62644367.86,-76.62
"PARAISOPOLIS - MG",1489240.68,1485382.32,-3858.36,-0.26
"UBA - MG",6003509.21,5444048.35,-559460.86,-9.32
"CAMPESTRE DE GOIAS - GO",680892.41,662892.41,-18000.00,-2.64
"TUPA - SP",3252486.92,3143651.46,-108835.46,-3.35
"IVOTI - RS",1549046.87,1542410.67,-6636.20,-0.43
"SARANDI - PR",4589544.70,4345684.28,-243860.42,-5.31
"PIRES DO RIO - GO",2160708.79,2142708.79,-18000.00,-0.83
"INHAPIM - MG",1991514.17,1988744.00,-2770.17,-0.14
"VILA BOA - GO",904110.41,894110.41,-10000.00,-1.11
"BRAGANCA PAULISTA - SP",8594042.47,8303573.58,-290468.89,-3.38
"BAMBUI - MG",1833578.13,1812898.08,-20680.05,-1.13
"PASSO FUNDO - RS",10530865.60,10275128.72,-255736.88,-2.43
