"Mun","./backup/201409.zip","novo/201409.zip","Diff","Percent"
"TARTARUGALZINHO - AP",1101460.89,1080547.56,-20913.33,-1.90
"CONTENDA - PR",1004884.05,1004084.04,-800.01,-0.08
"OCAUCU - SP",409945.95,392904.95,-17041.00,-4.16
"PAQUETA - PI",526887.83,518292.83,-8595.00,-1.63
"MONTE AZUL - MG",1256457.23,1139100.46,-117356.77,-9.34
"ITAPOA - SC",1354695.51,1317147.51,-37548.00,-2.77
"POTIM - SP",1127926.18,1102926.18,-25000.00,-2.22
"BAIXA GRANDE DO RIBEIRO - PI",2544737.75,2543937.75,-800.00,-0.03
"PANAMBI - RS",2232291.23,2201424.23,-30867.00,-1.38
"SAO JOSE DO CALCADO - ES",1036734.20,1015134.19,-21600.01,-2.08
"SERRA DA RAIZ - PB",694939.14,689496.14,-5443.00,-0.78
"MONTE ALEGRE DO SUL - SP",489313.07,469313.07,-20000.00,-4.09
"JARDIM DE PIRANHAS - RN",1171931.62,1170829.62,-1102.00,-0.09
"TAIUVA - SP",436479.68,421479.68,-15000.00,-3.44
"IMIGRANTE - RS",410587.03,402354.77,-8232.26,-2.00
"PALMEIRA DAS MISSOES - RS",1548229.26,1465893.41,-82335.85,-5.32
"ALTO ARAGUAIA - MT",1532314.92,1530300.92,-2014.00,-0.13
"SAO DOMINGOS DO AZEITAO - MA",907893.19,893811.60,-14081.59,-1.55
"HORIZONTINA - RS",1194785.59,1174785.59,-20000.00,-1.67
"BACABEIRA - MA",1697653.65,1672653.65,-25000.00,-1.47
"IPIRA - SC",424462.35,422991.35,-1471.00,-0.35
"HELIOPOLIS - BA",1091224.69,1089621.69,-1603.00,-0.15
"TRES DE MAIO - RS",1161739.45,1094984.93,-66754.52,-5.75
"VIAMAO - RS",5458268.46,5241069.12,-217199.34,-3.98
"PORTO UNIAO - SC",1286871.71,1272092.70,-14779.01,-1.15
"SAO PEDRO DO IVAI - PR",701975.78,700435.78,-1540.00,-0.22
"AMERICA DOURADA - BA",1840115.90,1827438.17,-12677.73,-0.69
"HIDROLINA - GO",435309.35,419509.35,-15800.00,-3.63
"PENTECOSTE - CE",2713478.69,2711599.69,-1879.00,-0.07
"MAE DO RIO - PA",3367729.95,3327729.95,-40000.00,-1.19
"ANALANDIA - SP",480097.94,465097.94,-15000.00,-3.12
"SOBRAL - CE",20794340.81,20792602.81,-1738.00,-0.01
"VESPASIANO - MG",4986482.59,4798712.59,-187770.00,-3.77
"SENADOR JOSE BENTO - MG",427528.33,417528.33,-10000.00,-2.34
"ITAPEMIRIM - ES",12000529.77,11941615.77,-58914.00,-0.49
"ANDORINHA - BA",1441653.81,1440398.81,-1255.00,-0.09
"COXILHA - RS",424725.67,414725.67,-10000.00,-2.35
