"Mun","entrada/marco/201412.zip","entrada/abril/201412.zip","Diff","Percent"
"MONTE AZUL - MG",2188987.75,2185214.98,-3772.77,-0.17
"PALMEIRA DAS MISSOES - RS",2674101.02,2658183.41,-15917.61,-0.60
"TRES DE MAIO - RS",2141635.70,2114881.18,-26754.52,-1.25
"NOVO CRUZEIRO - MG",2993980.85,2984927.56,-9053.29,-0.30
"CANGUCU - RS",3698237.85,3669771.60,-28466.25,-0.77
"TRES COROAS - RS",2187556.87,2164583.09,-22973.78,-1.05
"SANTA RITA DO SAPUCAI - MG",3116779.80,3089300.63,-27479.17,-0.88
"SANANDUVA - RS",1584506.54,1577481.03,-7025.51,-0.44
"POCO FUNDO - MG",1743399.88,1735015.75,-8384.13,-0.48
"BELEM - PA",108538836.20,83801679.43,-24737156.77,-22.79
"VARZEA GRANDE - MT",11490869.69,11468461.69,-22408.00,-0.20
"REGISTRO - SP",3865965.29,3820663.37,-45301.92,-1.17
"MONSENHOR GIL - PI",1401611.49,1395111.49,-6500.00,-0.46
"CUIABA - MT",71766616.92,37477591.81,-34289025.11,-47.78
"SAO JOSE DO OURO - RS",857755.34,842789.21,-14966.13,-1.74
"GURUPI - TO",5345290.21,5330785.74,-14504.47,-0.27
"CORONEL FABRICIANO - MG",6152151.79,6146726.08,-5425.71,-0.09
"PORTO LUCENA - RS",825169.61,823258.78,-1910.83,-0.23
"FORTALEZA - CE",228143070.91,171514006.45,-56629064.46,-24.82
"BRASILIA - DF",264947894.19,214006934.27,-50940959.92,-19.23
"CONDOR - RS",888485.60,887272.59,-1213.01,-0.14
"MARILIA - SP",12501905.55,12331887.14,-170018.41,-1.36
"SARANDI - RS",1773246.68,1768486.24,-4760.44,-0.27
"SAO SEBASTIAO DO CAI - RS",1885046.54,1876531.46,-8515.08,-0.45
"PARAISOPOLIS - MG",1973185.44,1969196.55,-3988.89,-0.20
"UBA - MG",6186856.57,5999708.38,-187148.19,-3.02
"TIMOTEO - MG",5111695.32,5076773.14,-34922.18,-0.68
"TUPA - SP",4041842.28,3842959.27,-198883.01,-4.92
"IVOTI - RS",1808052.11,1801648.59,-6403.52,-0.35
"SARANDI - PR",5292584.94,5258435.27,-34149.67,-0.65
"INHAPIM - MG",2696330.48,2678295.62,-18034.86,-0.67
"BRAGANCA PAULISTA - SP",9109209.51,9034209.51,-75000.00,-0.82
"BAMBUI - MG",2086771.81,2066091.76,-20680.05,-0.99
"PASSO FUNDO - RS",10231172.51,9877679.17,-353493.34,-3.46
"GARCA - SP",3530757.28,3517068.57,-13688.71,-0.39
"JOAO PESSOA - PB",84417951.91,72519598.37,-11898353.54,-14.09
"SANTO CRISTO - RS",1467270.67,1460383.97,-6886.70,-0.47
"FERNANDOPOLIS - SP",4296477.84,4048141.59,-248336.25,-5.78
"CAMBUI - MG",3517560.14,3509963.78,-7596.36,-0.22
"FORMIGA - MG",5086846.37,4920299.87,-166546.50,-3.27
"PASSAGEM FRANCA DO PIAUI - PI",969408.20,962908.20,-6500.00,-0.67
"AIURUOCA - MG",999399.83,983080.56,-16319.27,-1.63
"CRUZ ALTA - RS",4610523.62,4310173.26,-300350.36,-6.51
